"ABMS_DATA_ID","ENTITY_ID","CERT_BOARD","CERTIFICATE","CERTIFICATE_TYPE","EFFECTIVE_DT","EXPIRATION_DT","LAST_REPORTED_DT","CERT_STAT_DESC","DURATION_TYPE_DESC","MOC_MET_RQT","REACTIVATION_DT","INSERT_DTM","INSERT_USER_ID","END_DT","CERTIFICATION_ID","ABMS_BIO_ID","MOC_PATHWAY_BRD_MSG","MOC_PATHWAY_ID","ABMS_RECORD_TYPE"
152198925,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2009-12-366,2010-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1576233,112984,,,"Expired"
152198926,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2010-12-365,2011-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1657947,112984,,,"Expired"
152198927,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2011-12-365,2011-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1766027,112984,,,"Expired"
152198928,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2011-12-365,2013-12-366,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1829233,112984,,,"Expired"
152198930,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2014-12-365,2015-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2040423,112984,,,"Expired"
152198929,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2013-12-366,2014-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,1931499,112984,,,"Expired"
152198931,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2015-12-365,2016-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2152745,112984,,,"Expired"
152198932,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2016-12-365,2016-12-366,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2298924,112984,,,"Expired"
152198933,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2016-12-366,2018-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2410905,112984,,,"Expired"
152198934,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",1992-12-346,2003-12-365,2023-05-124,"Initial Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,246125,112984,,,"Expired"
152198935,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2018-12-365,2019-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2532545,112984,,,"Expired"
152198936,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2019-12-365,2020-12-365,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2667474,112984,,,"Expired"
152198937,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2020-12-365,2021-12-366,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,2831106,112984,,,"Expired"
146573198,20638692,"American Board of Internal Medicine","Internal Medicine","General",2002-08-232,2013-12-366,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:29 AM,"PEPFETL ",,1114227,723435,,,"Expired"
146573199,26945044,"American Board of Internal Medicine","Internal Medicine","General",2008-08-225,2019-12-365,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:29 AM,"PEPFETL ",,1557545,884257,,,"Expired"
146573196,21456678,"American Board of Surgery","Surgery","General",2007-09-267,2019-12-365,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:29 AM,"PEPFETL ",,1454468,866438,,,"Expired"
146573197,20638692,"American Board of Internal Medicine","Endocrinology, Diabetes and Metabolism","Sub-specialty",2004-11-308,2015-12-365,,"Initial Certification","Time Limited","Y  ",,2019/01/29:05:01:29 AM,"PEPFETL ",,1281937,723435,,,"Expired"
152198938,7649430,"American Board of Obstetrics and Gynecology","Obstetrics & Gynecology","General",2001-12-366,2004-04-121,2023-05-124,"Re-Certification","Time Limited","Y  ",,2023/04/12:05:05:43 AM,"PEPFETL ",,865200,112984,,,"Expired"
