RECSEQ	MESSAGE_ID	MESSAGE_NAME	EVENT_DATE	PROD_CAT	PROD_DESC	TOTAL_OPENS	TOTAL_CLICKS	TOTAL_BOUNCES	TOTAL_UNSUBS	TOTAL_SENDS	OPEN_RATE	CLICK_RATE	BOUNCE_RATE	UNSUB_RATE	DELIVERY_RATE	URL1	URL2	URL3	URL4	URL5
0000000001	1006	Health Solutions_General Marketing_non doc_060116	2016/07/30 21:36:00	CPTApp		112	0	0	0	0	         0	         0	         0	         0	         0					
0000000002	1029	Health Solutions_Credentialing_Webinar_060616	2016/07/31 14:52:00	Credentialing		59	0	0	0	0	         0	         0	         0	         0	         0					
0000000003	1095	Health Solutions_Coding Events_060816	2016/07/30 16:04:00	Coding Events	060816	234	14	0	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1290056&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1465398064&utm_content=health+solutions_coding+events_060816&utm_campaign=health+solutions+coding+events	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1290056&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1465398065&utm_content=health+solutions_coding+events_060816&utm_campaign=health+solutions+coding+events	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1290056&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1465398051&utm_content=health+solutions_coding+events_060816&utm_campaign=health+solutions+coding+events	https://commerce.ama-assn.org/store/catalog/productdetail.jsp?product_id=prod1290056&navaction=push&utm_source=selligent&utm_medium=email&utm_term=1465398020&utm_content=health+solutions_coding+events_060816&utm_campaign=health+solutions+coding+events
0000000004	10972	HS_Clinician Intro_030817 -HS_Clinician Intro_030117 -Split_1_Patient	2017/05/19 16:54:00	VerifyHCPClinician		21	5	0	0	0	         0	24	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=t.terryhoward@comcast.net&token=mza1mtkzmte=&amp;registrationid=42161			
0000000005	10973	HS_Clinician Intro_030817 -HS_Clinician Intro_030117 -Split_2_Mandates	2017/07/02 17:33:00	VerifyHCPClinician		12	0	0	0	0	         0	         0	         0	         0	         0					
0000000006	10975	HS_Admin Intro_030817-HS_Admin Intro_030117-Split_1	2017/06/23 07:34:00	VerifyHCPAdmin		41	0	0	0	0	         0	         0	         0	         0	         0					
0000000007	10976	HS_Admin Intro_030817-HS_Admin Intro_030117-Split_2	2017/05/19 09:21:00	VerifyHCPAdmin		30	2	0	0	0	         0	7	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=im@izymat.com&token=mtk5ntexmdu=&amp;registrationid=173981			
0000000008	11630	HS_ProfilesHub_UpdatedLockboxAddress_031517	2017/05/19 17:04:00	CredentialingAlerts		601	0	0	0	0	         0	         0	         0	         0	         0					
0000000009	11676	HS_Admin Reminder_031517-HS_Admin Reminder_031517-UPDATE	2017/05/22 10:16:00	VerifyHCPAdmin		40	0	0	0	0	         0	         0	         0	         0	         0					
0000000010	11677	HS_Admin Reminder_031517-HS_Admin Reminder_031517-NOW	2017/06/22 06:37:00	VerifyHCPAdmin		32	0	0	0	0	         0	         0	         0	         0	         0					
0000000011	11679	HS_Clinician Reminder_031517-HS_Clinician Reminder_031517-UPDATE	2017/06/01 18:50:00	Clinician Reminder	031517-HS	13	0	0	0	0	         0	         0	         0	         0	         0					
0000000012	11680	HS_Clinician Reminder_031517-HS_Clinician Reminder_031517-NOW	2017/05/30 13:31:00	VerifyHCPClinician		37	0	0	0	0	         0	         0	         0	         0	         0					
0000000013	11693	HS_CoME2017_DoctorsDay2017_addr1_031517	2017/05/19 05:59:00	CoME2017	DoctorsDay2017	242	0	0	0	0	         0	         0	         0	         0	         0					
0000000014	1174	Health Solutions_ACDISattendees_060916	2016/08/02 11:44:00	CodingEvents		19	0	0	0	0	         0	         0	         0	         0	         0					
0000000015	11931	HS_ChannelMarketing_ResellersGuideResellers_031817	2017/07/20 14:41:00	ChannelMarketing		10	0	0	0	0	         0	         0	         0	         0	         0					
0000000016	11932	HS_ChannelMarketing_ResellersGuideAcademics_031817	2017/05/30 14:42:00	ChannelMarketing		30	0	0	0	0	         0	         0	         0	         0	         0					
0000000017	11963	HS_Admin Reminder_032217-HS_Admin Reminder_032217-Split_1-Control	2017/06/26 08:12:00	Admin Reminder	032217-HS	40	0	0	0	0	         0	         0	         0	         0	         0					
0000000018	11964	HS_Admin Reminder_032217-HS_Admin Reminder_032217-Split_2-Test	2017/05/19 09:22:00	VerifyHCPAdmin		29	1	0	0	0	         0	3	         0	         0	         0		https://verifyhcp.lexisnexis.com/verifyhcp/registration/validatetoken?email=im@izymat.com&token=mzy1mzq4otm=&amp;registrationid=173951			
0000000019	11966	HS_Clinician Reminder_032217-HS_Clinician Reminder_032217-Split_1-Control	2017/06/02 13:41:00	VerifyHCPClinician		51	0	0	0	0	         0	         0	         0	         0	         0					
0000000020	11967	HS_Clinician Reminder_032217-HS_Clinician Reminder_032217-Split_2-Test	2017/07/20 15:42:00	Clinician Reminder	032217-HS	16	0	0	0	0	         0	         0	         0	         0	         0					
0000000021	12175	Credentialing_8Elements_addr1_032417	2017/05/18 16:06:00	Credentialing		658	40	0	0	0	         0	6	         0	         0	         0		https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_032417&utm_campaign=credentialing+2017&utm_uid=9101637&utm_effort=	https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_032417&utm_campaign=credentialing+2017&utm_uid=9116844&utm_effort=	https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_032417&utm_campaign=credentialing+2017&utm_uid=9124880&utm_effort=	https://commerce.ama-assn.org/amaprofiles/?utm_source=selligent&utm_medium=email&utm_term=%25m%25d%25y&utm_content=credentialing_8elements_addr1_032417&utm_campaign=credentialing+2017&utm_uid=9570513&utm_effort=
