RECSEQ	ACCESS_LIC_ID	ACCESS_PNT_ID	PROFILE_ID	STATUS
0000000001	17600001	17800001		ACTIVE
0000000002	17700001	17700001	12397470	ACTIVE
0000000003	17800001	17900002	12211677	ACTIVE
0000000004	17700002	17100493	12245911	ACTIVE
0000000005	17800002	17900003	12213597	ACTIVE
0000000006	17800003	17300073		INACTIVE
0000000007	17800004	17300073	12214406	ACTIVE
0000000008	17700003	17700002	2185924	ACTIVE
0000000009	17800005	14300093	5084222	INACTIVE
0000000010	17900001	18000001	12250352	ACTIVE
0000000011	17900002	17313906		INACTIVE
0000000012	17900003	17313906	6757423	ACTIVE
0000000013	18000001	18100001	12241398	ACTIVE
0000000014	18000002	18100002	12241398	ACTIVE
0000000015	18000003	17100493	12245456	ACTIVE
0000000016	18000004	17100493	12245525	ACTIVE
0000000017	18000005	17100493	12674265	ACTIVE
0000000018	18000006	17100493	12265650	ACTIVE
0000000019	18000007	18100003	12242484	ACTIVE
0000000020	18000008	16400034	12245369	INACTIVE
0000000021	17900004	18100005	12244514	ACTIVE
0000000022	18000009	18100006	12245272	ACTIVE
0000000023	18000010	9600087	12050074	ACTIVE
0000000024	18000011	12400154	12255919	ACTIVE
0000000025	17600002	16200468	12397470	INACTIVE
0000000026	17600003	17313894	12397470	INACTIVE
0000000027	17600004	17800002	2087342	INACTIVE
0000000028	18000012	18100008	12246736	ACTIVE
0000000029	17900005	17300073	12257188	INACTIVE
0000000030	17900006	17300074	12257188	INACTIVE
0000000031	17900007	17300075	12257188	INACTIVE
0000000032	17600005	17800004	3620420	ACTIVE
0000000033	18000013	17900004	11720941	ACTIVE
0000000034	17600006	17800003	11860387	ACTIVE
0000000035	18000014	18100009	12247057	ACTIVE
0000000036	17900008	17100654		INACTIVE
0000000037	17900009	17100655	2476577	ACTIVE
0000000038	17900010	17100654		INACTIVE
0000000039	17900011	17100655		INACTIVE
0000000040	17900012	12400208	12259538	ACTIVE
0000000041	17900013	12400206	12259538	ACTIVE
0000000042	17900014	12400205	12259538	ACTIVE
0000000043	17900015	17100654	2476577	INACTIVE
0000000044	17900016	17100654	2476577	ACTIVE
0000000045	17600007	17600108	12118034	INACTIVE
0000000046	18000015	17800003	12291478	INACTIVE
0000000047	18000016	17800003	12270754	ACTIVE
0000000048	18000017	17800003	12591988	ACTIVE
0000000049	18000018	17800003		INACTIVE
0000000050	18000019	17100654	12249245	ACTIVE
0000000051	18000020	17100655	12249245	ACTIVE
0000000052	17900017	18000008	12259878	ACTIVE
0000000053	17600008	17800005	3105150	ACTIVE
0000000054	17900018	15900058	12246423	ACTIVE
0000000055	17900019	18100011	12249795	ACTIVE
0000000056	17600009	14900026		INACTIVE
0000000057	17600010	17313931		ACTIVE
0000000058	17600011	14900026	12300320	ACTIVE
0000000059	17600012	17800006	3201500	ACTIVE
0000000060	17600013	17800007	3201500	ACTIVE
0000000061	17600014	17800008	3201500	ACTIVE
0000000062	17600015	17800009	3201500	ACTIVE
0000000063	18000021	17800003		INACTIVE
0000000064	17600016	17600108	12118034	INACTIVE
0000000065	17900020	17600102	12097417	ACTIVE
0000000066	18000022	17313895	2594932	ACTIVE
0000000067	18000023	18100012	743520	ACTIVE
0000000068	17600017	17600108	12118034	INACTIVE
0000000069	17600018	17800010	5242031	ACTIVE
0000000070	17900021	18000012	12079527	ACTIVE
0000000071	17900022	12400203	29710254	ACTIVE
0000000072	17900023	12400203		ACTIVE
0000000073	17900024	18000013	12275710	ACTIVE
0000000074	17900025	12400203	12290590	ACTIVE
0000000075	17900026	12400201	29710254	ACTIVE
0000000076	17900027	12400201		ACTIVE
0000000077	17900028	12400201	12290590	ACTIVE
0000000078	17900029	12400204	29710254	ACTIVE
0000000079	17900030	12400204		ACTIVE
0000000080	18000024	12400204	12290590	ACTIVE
0000000081	18100001	12400202	29710254	ACTIVE
0000000082	18100002	12400202		ACTIVE
0000000083	18100003	12400202	12290590	ACTIVE
0000000084	18100004	18200001	12280066	ACTIVE
0000000085	18100005	18200002	12280325	ACTIVE
0000000086	18200001	18300001	8110180	ACTIVE
0000000087	17600019	17800011	6030595	ACTIVE
0000000088	18100006	17600108	12118034	ACTIVE
0000000089	18200002	18300002	12291219	ACTIVE
0000000090	18200003	18000003	12255143	ACTIVE
0000000091	18200004	18300003	12291293	ACTIVE
0000000092	18100007	17306996	12553276	ACTIVE
0000000093	18200005	18300004	12291293	ACTIVE
0000000094	17600020	17100549	1850767	ACTIVE
0000000095	17600021	17800012	8909535	INACTIVE
0000000096	17600022	17800012	8909535	ACTIVE
0000000097	17600023	15600012	9298465	ACTIVE
0000000098	18200006	18300005	12293052	ACTIVE
0000000099	17600024	12400165	3701102	ACTIVE
0000000100	17600025	12400166	3701102	ACTIVE
0000000101	18100008	17100650	12256379	ACTIVE
0000000102	18100009	17100651	12256379	ACTIVE
0000000103	18100010	18300007	1928405	ACTIVE
0000000104	17600026	17800013	7200482	ACTIVE
0000000105	18100011	18200003	2831755	ACTIVE
0000000106	17600027	17800014	3195723	ACTIVE
0000000107	17600028	17800015	2005755	ACTIVE
0000000108	17600029	17800016	6237910	ACTIVE
0000000109	17600030	17800017	2560680	ACTIVE
0000000110	17600031	17800018	3146721	ACTIVE
0000000111	17600032	17800019	6766033	ACTIVE
0000000112	18200007	17100614	12289540	ACTIVE
0000000113	18200008	17100614		ACTIVE
0000000114	18200009	17100614	7080793	ACTIVE
0000000115	18200010	17100614	12299044	ACTIVE
0000000116	18200011	17100614	12299109	ACTIVE
0000000117	18200012	14300129	5070197	ACTIVE
0000000118	18200013	14300129	12288524	ACTIVE
0000000119	17600033	17800020	7030785	ACTIVE
0000000120	17600034	17800021	1798112	ACTIVE
0000000121	17600035	17800022	7416443	ACTIVE
0000000122	17600036	17800023	3206134	ACTIVE
0000000123	17600037	17800024	6209951	ACTIVE
0000000124	18200014	18200004	9518042	ACTIVE
0000000125	17600038	17800025	6885537	ACTIVE
0000000126	17600039	17800025	6887067	ACTIVE
0000000127	17600040	17307003		INACTIVE
0000000128	17600041	17307003		INACTIVE
0000000129	17600042	17800026	12287884	INACTIVE
0000000130	18100012	18300009	6853900	ACTIVE
0000000131	18100013	18200005	12289667	ACTIVE
0000000132	18100014	17800003	12249943	INACTIVE
0000000133	18200015	18300010	12294081	ACTIVE
0000000134	17600043	16200393		INACTIVE
0000000135	18100015	18200006	12300138	ACTIVE
0000000136	17600044	17800027	3455457	ACTIVE
0000000137	18200016	18300011	12299730	ACTIVE
0000000138	17600045	17800028	6860270	ACTIVE
0000000139	17600046	17800029	6130262	ACTIVE
0000000140	17600047	17800030	6532425	ACTIVE
0000000141	18200017	11800056		INACTIVE
0000000142	18100016	17100662	2128268	ACTIVE
0000000143	18100017	17100662	12462342	ACTIVE
0000000144	18100018	17100660	12462342	ACTIVE
0000000145	18100019	17100661	12462342	ACTIVE
0000000146	18200018	18000006	12259498	ACTIVE
0000000147	18200019	17400026	3143453	ACTIVE
0000000148	17600048	17800031	3484281	ACTIVE
