RECSEQ	EMPPID	ORDER_ID	SUB_DATE	PROFILE_ID	LINEITEMS	CREATE_DATE	UPDATE_DATE	START_DATE	PURCHASERID	ORDITEMQTY	ORDTDOL	TAX	GRANDTOTAL	EULAACCEPT	LOAD_DATE
0000000001	0000037988	o523328	2011/12/27 00:00:00	2577186	2	2011/12/27 00:00:00	2014/12/27 00:00:00	2011/12/27 00:00:00	2577186	2	1417.50	0.00	1417.50	Y	2019/10/25 00:00:00
0000000002	0000037988	o8121100	2014/12/04 00:00:00	2577186	2	2014/12/04 00:00:00	2016/02/11 00:00:00	2014/12/27 00:00:00	2577186	2	518.63	0.00	518.63	Y	2019/10/25 00:00:00
0000000003	0000038135	o3376059	2013/08/16 00:00:00	9705591	1	2013/08/16 00:00:00	2013/08/16 00:00:00	2013/08/16 00:00:00	9705591	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000004	0000038135	o3376124	2013/08/17 00:00:00	9705591	1	2013/08/17 00:00:00	2013/08/17 00:00:00	2013/08/17 00:00:00	9705591	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000005	0000038135	o3378998	2013/08/24 00:00:00	9705591	1	2013/08/24 00:00:00	2013/09/06 00:00:00	2013/08/24 00:00:00	9705591	1	14.25	0.00	14.25	Y	2019/10/25 00:00:00
0000000006	0000038135	o4820134	2014/01/23 00:00:00	9705591	1	2014/01/23 00:00:00	2015/01/23 00:00:00	2014/01/23 00:00:00	9705591	1	320.00	0.00	320.00	Y	2019/10/25 00:00:00
0000000007	0000038135	o9340517	2015/01/23 00:00:00	9705591	1	2015/01/23 00:00:00	2016/02/01 00:00:00	2015/01/23 00:00:00	9705591	1	320.00	0.00	320.00	Y	2019/10/25 00:00:00
0000000008	0000038243	o2815751	2013/06/25 00:00:00	8845679	1	2013/06/25 00:00:00	2013/06/25 00:00:00	2013/06/25 00:00:00	8845679	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000009	0000038243	o2815778	2013/06/25 00:00:00	8845679	1	2013/06/25 00:00:00	2013/06/25 00:00:00	2013/06/25 00:00:00	8845679	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000010	0000038311	o7468896	2014/08/27 00:00:00	30617385	1	2014/08/27 00:00:00	2014/08/27 00:00:00	2014/08/27 00:00:00	30617385	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000011	0000038331	o4436505	2013/12/10 00:00:00	11566708	1	2013/12/10 00:00:00	2013/12/10 00:00:00	2013/12/10 00:00:00	11566708	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000012	0000038551	o7395833	2014/08/22 00:00:00	30504597	1	2014/08/22 00:00:00	2014/08/22 00:00:00	2014/08/22 00:00:00	30504597	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000013	0000038938	o10286384	2015/03/04 00:00:00	38006599	1	2015/03/04 00:00:00	2015/03/04 00:00:00	2015/03/04 00:00:00	38006599	1	0.00	0.00	0.00	Y	2019/10/25 00:00:00
0000000014	0000038963	o4490037	2013/12/13 00:00:00	11621867	1	2013/12/13 00:00:00	2014/12/13 00:00:00	2013/12/13 00:00:00	11621867	1	1085.00	0.00	1085.00	Y	2019/10/25 00:00:00
0000000015	0000039128	o13259253	2015/09/30 00:00:00	6187511	1	2015/09/30 00:00:00	2016/02/11 00:00:00	2015/11/18 00:00:00	6187511	1	163.93	0.00	163.93	Y	2019/10/25 00:00:00
0000000016	0000039128	o1590140	2012/11/09 00:00:00	6187511	1	2012/11/09 00:00:00	2013/11/09 00:00:00	2012/11/09 00:00:00	6187511	2	952.00	0.00	952.00	Y	2019/10/25 00:00:00
0000000017	0000039128	o1601130	2013/11/18 00:00:00	6187511	1	2013/11/18 00:00:00	2014/11/18 00:00:00	2013/11/18 00:00:00	6187511	1	800.00	0.00	800.00	Y	2019/10/25 00:00:00
