RECSEQ	EMPPID	ORDER_NO	LINE_NO	CANCEL_DATE	CATALOG_ID	PROMO_CD	SHIPTO_CUSTID	BILLTO_CUSTID	PRODUCT_NO	QTY_CANCELLED	PRICE_EACH	TAX_EACH	OTHER_CHARGE	DISCOUNT_EACH	REASON_CODE	REASON_DESC	CAMPAIGN_CODE	DEMO_CODE	INSERT_DTM	UPDATE_DTM	PRODUCT_DESC	VENDOR_NUMBER	VENDOR_NAME	PRODUCT_COST	DISCONTINUED	THEME_CODE	PRODLINE_DESC	AMA_PROD_NO	PRODUCT_LINE	PROMO_DESC	QTY_MAILED
0000000001	0000038291	45979296	001000	2018/09/21 00:00:00	CIX	CIX	36549361	36549361	EP054119	0000000001	000116.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000002	0000038291	45979296	002000	2018/08/09 00:00:00	CIX	CIX	36549361	36549361	OP201119	0000000002	000081.72	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000003	0000039484	46095861	011000	2019/08/06 00:00:00	THH	THHA13	58975821	58975821	EB054120	0000000001	000087.95	0000000000	0000000000	0000000000		NONE	THH	A13			CPT STANDARD 2020 EB9781622028979	000000	*NONE	.00	Y	4145AC35	Coding And Reimbursements	EB054120	3		
0000000004	0000040010	45983859	001000	2018/10/15 00:00:00	CIXM	CIX	41202155	41202155	EP054119	0000000001	000082.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000005	0000047045	45926325	001030	2017/12/06 00:00:00	CIX	CIX	35076738	35076738	OP231518	0000000001	000079.96	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2018 SPIRAL9781622026128	000000	*NONE	12.60	N	4150BP36	Coding And Reimbursements	OP231518	3	ONLINE CATALOG ORD MEMBER	00498962
0000000006	0000047045	45926325	002000	2017/12/06 00:00:00	CIX	CIX	35076738	35076738	OP512918	0000000001	000079.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			CPT CHANGES2018:ANINSIDERSVIEW9781622026029	795727	WEBCRAFTERS	4.50	N	4150AC34	Coding And Reimbursements	OP512918	3	ONLINE CATALOG ORD MEMBER	00498962
0000000007	0000048163	45963475	001003	2018/10/26 00:00:00	UNK	UNKMC	60979937	60979937	NC070218	0000000001	000000.00	0000000000	0000000000	0000000000		NONE	UNK	MC			MEDICARE RBRVS UPDATE 3	000000	*NONE	.00	Y	4145AC28	Coding And Reimbursements	NC070218	3	UNKNOWN SOURCE CODE - MULTICHANNEL	00000000
0000000008	0000052391	45927740	009000	2017/12/07 00:00:00	FXZ	FXZ	37931724	37931724	OP590918	0000000001	000480.00	0000000000	0000000000	0000000000		NONE	FXZ	UNK			OPTHALMIC CODING COACH 20189781681040905	000000	*NONE	312.00	N	4150BP47	Coding And Reimbursements	OP590918	3		
0000000009	0000052391	45927740	010000	2017/12/07 00:00:00	FXZ	FXZ	37931724	37931724	OP590918	0000000001	000480.00	0000000000	0000000000	0000000000		NONE	FXZ	UNK			OPTHALMIC CODING COACH 20189781681040905	000000	*NONE	312.00	N	4150BP47	Coding And Reimbursements	OP590918	3		
0000000010	0000053032	46079554	001000	2019/05/13 00:00:00	CIX	CIX	37761346	37761345	OP201420	0000000001	000108.95	0000000000	0000000000	0000000000		NONE	CIX	UNK			ICD10CM 2020 - GUIDELINES9781622029235	000000	*NONE	15.49	N	4150BQ44	Coding And Reimbursements	OP201420	3	ONLINE CATALOG ORD MEMBER	00498962
0000000011	0000053210	45973290	001000	2018/05/08 00:00:00	CIX	CIX	36413955	36413954	OP400518	0000000001	000183.00	0000000000	0000000000	0000000000		NONE	CIX	UNK			MedL Coding Essent Labs 20189781631511615	814880	MEDLEARN	128.10	N	4150BP47	Coding And Reimbursements	OP400518	3	ONLINE CATALOG ORD MEMBER	00498962
0000000012	0000053539	46001408	001000	2018/10/23 00:00:00	TGK	TGKA11	33600235	33600235	OP085518	0000000001	000329.00	0000000000	0000000000	0000000000		NONE	TGK	A11			COMPLETE GLOBAL SVC ORTHO 189781625526960	295095	AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS	220.43	Y	4150BP47	Coding And Reimbursements	OP085518	3		
0000000013	0000054122	45935144	001030	2017/12/26 00:00:00	CIX	CIX	35341526	35341526	OP231518	0000000001	000079.96	0000000000	0000000000	0000000000		NONE	CIX	UNK			HCPCS 2018 SPIRAL9781622026128	787895	ELSEVIER	13.32	N	4150BP36	Coding And Reimbursements	OP231518	3	ONLINE CATALOG ORD MEMBER	00498962
