RECSEQ	EMPPID	ORDER_NO	LINE_NO	RETURN_DATE	CATALOG_ID	PROMO_CD	SHIPTO_CUSTID	BILLTO_CUSTID	PRODUCT_NO	RETURNED_QTY	PRICE_EACH	TAX_EACH	OTHER_CHARGE	DISCOUNT	REASON_CODE	REASON_DESC	CAMPAIGN_CODE	DEMO_CODE	INSERT_DTM	UPDATE_DTM	PRODUCT_DESC	VENDOR_NUMBER	VENDOR_NAME	PRODUCT_COST	DISCONTINUED	THEME_CODE	PRODLINE_DESC	AMA_PROD_NO	PRODUCT_LINE	PROMO_DESC	QTY_MAILED
0000000001	0000038064	46056523	000101	2019/02/13 00:00:00	CIX	CIX	37552975	37552974	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000002	0000038064	46056523	000102	2019/02/13 00:00:00	CIX	CIX	37552975	37552974	OP201419	0000000001	000087.16	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000003	0000038064	46056523	000103	2019/02/13 00:00:00	CIX	CIX	37552975	37552974	OP231519	0000000001	000083.96	0000000000	0000000000	0000000000	R6	CUSTOMER ORDERED WRONG ITEM	CIX	UNK			HCPCS 2019 SPIRAL9781622027798	522347	ELSEVIER	10.86	N	4150BP36	Coding And Reimbursements	OP231519	3	ONLINE CATALOG ORD MEMBER	00498962
0000000004	0000038122	46028048	000100	2018/12/04 00:00:00	CDR	CDR	22352642	22352642	OP201119	0000000001	000087.16	0000000000	0000000000	0000000000	R4	NO REASON	CDR	UNK			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3	WEB ORDER FORM	00000000
0000000005	0000038122	46028048	000100	2018/12/04 00:00:00	CDR	CDR	22352642	22352642	OP201419	0000000001	000087.16	0000000000	0000000000	0000000000	R4	NO REASON	CDR	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	WEB ORDER FORM	00000000
0000000006	0000038296	45949245	000400	2018/04/06 00:00:00	CIX	CIX	35666540	35666540	OP287018	0000000001	000048.72	0000000000	0000000000	0000000000	R4	NO REASON	CIX	UNK			RISK ADJUST DOC AND CODING9781622027330	849061	CJK WEBCRAFTERS INC	10.60	N	4150AC69	Coding And Reimbursements	OP287018	3	ONLINE CATALOG ORD MEMBER	00498962
0000000007	0000038309	45950887	000100	2017/12/12 00:00:00	CIX	CIX	35708343	35708342	OP201418	0000000001	000104.95	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3	ONLINE CATALOG ORD MEMBER	00498962
0000000008	0000038371	45989834	000100	2018/08/06 00:00:00	CIX	CIX	32267605	36809714	EP054118	0000000002	000116.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3	ONLINE CATALOG ORD MEMBER	00498962
0000000009	0000038427	45953737	000100	2018/01/12 00:00:00	CIX	CIX	35776979	35776978	OP083018	0000000001	000174.95	0000000000	0000000000	0000000000	R5	DID NOT WANT/DO NOT NEED	CIX	UNK			OPUTM SURGICAL CROSS CODER 189781622543168	000250	OPTUM - CUST 130006	101.47	N	4150BP71	Coding And Reimbursements	OP083018	3	ONLINE CATALOG ORD MEMBER	00498962
0000000010	0000038696	45986656	000200	2018/10/15 00:00:00	TGM	TGMA10	42872851	42872851	EP054119	0000000001	000093.56	0000000000	0000000000	0000000000	R4	NO REASON	TGM	A10			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3		
0000000011	0000038696	45986656	000300	2018/10/17 00:00:00	TGM	TGMA10	42872851	42872851	OP201419	0000000001	000087.16	0000000000	0000000000	0000000000	R4	NO REASON	TGM	A10			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3		
0000000012	0000038950	45993633	000100	2018/09/28 00:00:00	CIX	CIX	36893268	36893268	OP201419	0000000001	000087.16	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ICD10CM 2019 W_ GUIDELINES9781622027736	000250	OPTUM - CUST 130006	15.15	N	4150BQ44	Coding And Reimbursements	OP201419	3	ONLINE CATALOG ORD MEMBER	00498962
0000000013	0000039005	46120733	000300	2019/09/29 00:00:00	CIXM	CIX	18727871	18727871	EP054119	0000000002	000082.95	0000000000	0000000000	0000000000	R13	PBD ERROR - MISPICK	CIX	UNK			CPT PRO 20199781622027521	861190	LSC COMMUNICATIONS	4.79	N	4150AC36	Coding And Reimbursements	EP054119	3	ONLINE CATALOG ORD MEMBER	00498962
0000000014	0000039477	45989970	000500	2019/03/11 00:00:00	TGM	TGMA10	13946047	13946047	OP059619	0000000001	000074.96	0000000000	0000000000	0000000000	R20	Cancelled	TGM	A10			MEDICARE RBRVS 20199781622027811	174812	PA HUTCHINSON	6.67	N	4150AC28	Coding And Reimbursements	OP059619	3		
0000000015	0000040005	45957777	000100	2018/01/12 00:00:00	CIX	CIX	35906737	35906737	EP054118	0000000001	000116.95	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			CPT PROFESSIONAL 2018 SPIRAL9781622026005	861190	LSC COMMUNICATIONS	4.25	N	4150AC36	Coding And Reimbursements	EP054118	3	ONLINE CATALOG ORD MEMBER	00498962
0000000016	0000040005	45957777	000200	2018/01/12 00:00:00	CIX	CIX	35906737	35906737	OP201418	0000000001	000078.71	0000000000	0000000000	0000000000	R10	INSUFFICIENT ADDRESS	CIX	UNK			ICD10CM 2018 CODEBOOK9781622026043	784010	OPTUMINSIGHT INC	18.30	N	4150BQ44	Coding And Reimbursements	OP201418	3	ONLINE CATALOG ORD MEMBER	00498962
0000000017	0000040635	46046716	000100	2019/03/25 00:00:00	4BO	4BOOK20	23126302	23126302	OP201119	0000000012	000087.16	0000000000	0000000000	0000000000	R22	Overstock	4BO	OK20			ICD10PCS 2019 CODEBOOK9781622027750	000250	OPTUM - CUST 130006	14.17	N	4150BQ45	Coding And Reimbursements	OP201119	3		
