Address Match,Ambulatory Industry,Business Phone,City Match,First Name Match,Fixed VOIP,Hospital Industry,Landline,Last Name Match,Mobile,No Address,No Alternate Phone,No Date,No Industry,No PhoneType,Non Fixed Voip,Nursing Industry,Personal Phone,Relevant Name,State Match,Workplace Match,ZipCode Match,label
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,connected
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,connected
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,connected
1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,connected
1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,connected
1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,connected
0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,connected
1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,connected
0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,connected
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,connected
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,connected
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,connected
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,connected
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,connected
0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,connected
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,connected
1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,connected
1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,connected
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,connected
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,connected
0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,connected
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected
0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,disconnected
0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,disconnected
0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,disconnected
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,disconnected
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,disconnected
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,disconnected
0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,disconnected
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,disconnected
0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,disconnected
1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,disconnected
0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,disconnected
0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,disconnected
0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,disconnected
0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,disconnected
0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,disconnected
