Address,AlternatePhone,Carrier,City,Commercial,Date,Error,Industry,LineType,Name,OFFICE_TELEPHONE,PhoneType,State,Valid,Zipcode
444 Foxon Rd,N/A,Level 3 Communications,East Haven,TRUE,8/28/2018,,Ambulatory Health Care Services,NonFixedVOIP,"Di Capua, Paul D MD",2035335911,Business,CT,TRUE,6513
453 John Lewis Freedom Pkwy NE,18005503560,BellSouth,Atlanta,TRUE,11/20/2016,,Social Assistance,Landline,Carter Center,4044205100,Business,GA,TRUE,30306
3401 Ludington St,N/A,Ameritech,Escanaba,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,"Riley Sr, Alvin DO",9067863311,Business,MI,TRUE,49829
4770 Amoco Dr,N/A,Level 3 Communications,Moss Point,TRUE,8/28/2018,,Ambulatory Health Care Services,NonFixedVOIP,"Boykin, Ilene N.P.",2284749511,Business,MS,TRUE,39563
9179 W Tbird Rd Ste B105,N/A,Coxcom,Peoria,TRUE,11/15/2016,,Ambulatory Health Care Services,FixedVOIP,Amardeep Sodhi MD,6238159733,Business,AZ,TRUE,85381
13212 Shaker Sq Ste 204,N/A,ICG Telecom Group,Cleveland,TRUE,11/17/2016,,"Professional, Scientific, and Technical Services",NonFixedVOIP,Perspectus Architecture,2167521800,Business,OH,TRUE,44120
1000 Central St Ste 717,N/A,Onvoy/5,Evanston,TRUE,5/6/2017,,Ambulatory Health Care Services,NonFixedVOIP,Susan L Warner MD,8478641200,Business,IL,TRUE,60201
2144 Fairfax Ave,N/A,Teleport Communications America,Nashville,TRUE,11/19/2016,,Social Assistance,Landline,Ronald Mcdonald House,6153434000,Business,TN,TRUE,37212
410 W 10th St Ste 1100,N/A,Teleport Communications America,Indianapolis,TRUE,5/6/2017,,Ambulatory Health Care Services,Landline,Anantha Shekhar MD,3172789100,Business,IN,TRUE,46202
1201 Monument Rd Apt 200,19047275180,Bandwidth SMSEnabled,Jacksonville,TRUE,8/28/2018,,Ambulatory Health Care Services,NonFixedVOIP,"Nimmo-Olsen, Whitney R",9047275151,Business,FL,TRUE,32225
3324 Heritage Dr,12522377770,CenturyLink,Wilson,TRUE,2/28/2019,,Ambulatory Health Care Services,Landline,Wilson Family Medicine,2523995300,Business,NC,TRUE,27893
1701 Pelham Rd S,12292762000,BellSouth,Jacksonville,TRUE,2/28/2019,,Health and Personal Care Stores,Landline,Criswp Regional Hospital Pharm,2292763100,Business,AL,TRUE,36265
130 Essex St,19784689723,Paetec Communications,South Hamilton,TRUE,11/20/2016,,Educational Services,NonFixedVOIP,Gordon Conwell Theological,9784687111,Business,MA,TRUE,1982
820 W Panola St,18009089946,Teleport Communications America,Carthage,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,Panola College Associates Degree,4046794500,Business,TX,TRUE,75633
,N/A,Ameritech,Bull Valley,TRUE,,,N/A,Landline,Centegra Primar,8152061060,Business,IL,TRUE,None
,N/A,Verizon,Westchester,TRUE,,,N/A,Landline,"Ny,Presbyterian",9149974391,Business,NY,TRUE,None
910 Louisiana St Apt 190,N/A,AT&T,Houston,TRUE,11/17/2016,,Ambulatory Health Care Services,Landline,Patrick Joseph Mcclellan DDS,7132298100,Business,TX,TRUE,77002
105 Kilmayne Dr Ste A,N/A,Time Warner Communications,Cary,TRUE,11/20/2016,,Ambulatory Health Care Services,FixedVOIP,Rafael M Moreschi MD,9194672253,Business,NC,TRUE,27511
9200 W Wisconsin Ave # 4,14148053310,Ameritech,Milwaukee,TRUE,8/28/2018,,Ambulatory Health Care Services,Landline,Froedtert & Medical College Of Wisconsin Health Center Clinics,4148053666,Business,WI,TRUE,53226
,N/A,MCImetro Access Transmission Services,Saint Louis,TRUE,,,N/A,Landline,Icl,3145771607,Business,MO,TRUE,None
1330 New Hampshire Ave NW Apt 121,N/A,Comcast,Washington,TRUE,11/15/2016,,Ambulatory Health Care Services,FixedVOIP,Thomas Frederick Qualey MD,2024630220,Business,DC,TRUE,20036
4936 Dalton Dr NW Suite 92,N/A,TELUS,Calgary,FALSE,7/11/2017,,N/A,FixedVOIP,E Jalilian,4032887939,Person,AB,TRUE,T3A 3H1
739 Irving Ave Ste 600,18007276873,Northland Networks Ltd.,Syracuse,TRUE,11/17/2016,,Ambulatory Health Care Services,Landline,Crouse Hospital Neurology,3157012550,Business,NY,TRUE,13210
15 Union Ave,N/A,Comcast,Lakehurst,TRUE,12/8/2016,,Publishing Industries (except Internet),FixedVOIP,Micro Media Publications,7326577344,Business,NJ,TRUE,13203
4955 Castello Dr,N/A,Level 3 Communications,Naples,TRUE,11/15/2016,,Ambulatory Health Care Services,NonFixedVOIP,Javier Mendez DMD,2396593053,Business,FL,TRUE,34103
8380 Warren Pkwy Ste 504,N/A,McLeodUSA,Frisco,TRUE,8/28/2018,,Ambulatory Health Care Services,NonFixedVOIP,Texas Oncology PA,2144915858,Business,TX,TRUE,75034
4931 Long Prairie Rd Ste 100,N/A,Frontier Communications,Flower Mound,TRUE,11/15/2016,,Ambulatory Health Care Services,Landline,Saira Jamal MD,9725391600,Business,TX,TRUE,75028
