OFFICE_TELEPHONE,COMMENTS
2012231121,COMPLETE
2028776429,COMPLETE
2032709000,COMPLETE
2032842800,COMPLETE
2033834466,COMPLETE
2034535235,COMPLETE
2053132650,COMPLETE
2058368691,COMPLETE
2062236831,COMPLETE
2077754151,COMPLETE
2078923233,COMPLETE
2079353383,COMPLETE
2082392571,COMPLETE
2084685910,COMPLETE
2094686820,COMPLETE
2095775557,COMPLETE
2106167700,COMPLETE
2122635666,COMPLETE
2127462962,COMPLETE
2146964696,COMPLETE
2152204720,COMPLETE
2154265566,COMPLETE
2155031111,COMPLETE
2156028500,COMPLETE
2156578150,COMPLETE
2164448832,COMPLETE
2166366888,COMPLETE
2166873649,COMPLETE
2172559700,COMPLETE
2178642665,COMPLETE
2183335000,COMPLETE
2243576997,COMPLETE
2483380300,COMPLETE
2486918646,COMPLETE
2487517246,COMPLETE
2514713544,COMPLETE
2527443850,COMPLETE
2542982400,COMPLETE
2547242267,COMPLETE
2562132229,COMPLETE
2604268117,COMPLETE
2813251005,COMPLETE
2815012841,COMPLETE
2815304057,COMPLETE
2818762500,COMPLETE
3022738300,COMPLETE
3034445110,COMPLETE
3037242066,COMPLETE
3037893000,COMPLETE
3038289355,COMPLETE
3042348361,COMPLETE
3044223904,COMPLETE
3046453220,COMPLETE
3052734777,COMPLETE
3054765001,COMPLETE
3055950109,COMPLETE
3096925393,COMPLETE
3102738390,COMPLETE
3103748191,COMPLETE
3105508543,COMPLETE
3106570367,COMPLETE
3106597878,COMPLETE
3126955620,COMPLETE
3132776700,COMPLETE
3133433978,COMPLETE
3135771356,COMPLETE
3142516031,COMPLETE
3145675850,COMPLETE
3156630059,COMPLETE
3157080190,COMPLETE
3168662000,COMPLETE
3172722020,COMPLETE
3173559370,COMPLETE
3175837600,COMPLETE
3176217120,COMPLETE
3179443889,COMPLETE
3179628893,COMPLETE
3193383623,COMPLETE
3216362211,COMPLETE
3232616173,COMPLETE
3237283955,COMPLETE
3237555500,COMPLETE
3304549126,COMPLETE
3304928001,COMPLETE
3368830029,COMPLETE
3372343163,COMPLETE
3522735670,COMPLETE
3522739000,COMPLETE
3523830733,COMPLETE
3524011218,COMPLETE
3527428830,COMPLETE
3605765060,COMPLETE
3618877000,COMPLETE
