,Address,City,Date,Latitude,LineType,Name,NoteDescriptions,OFFICE_TELEPHONE,PhoneType,PostalCode,Provider,ProviderCity,ProviderState,QualityScore,SICDesc,State
0,null,null,null,null,UNKNOWN,SANTODMNGO DR,IsConnected,8095626767,BUSINESS,null,CODETEL,SANTO DOMINGO,DR,MED,null,null
1,null,null,2010-08-02,null,LANDLINE,null,"IsPorted,IsUnknownContact",7877853398,null,null,"AT&T, INC. - PR",BAYAMON,PUERTO RICO,null,null,null
2,2597 SCHOENERSVILLE RD,BETHLEHEM,2008-01-28,null,LANDLINE,LVPG ORTHOPEDICS AND SPORTS MEDICINE,"IsMailable,IsPorted,IsPossibleDisconnected,INF",4848845580,BUSINESS,18017-7325,"CTSI, INC. - PA",ALLENTOWN,PENNSYLVANIA,LOW,null,PA
3,null,SAN ANTONIO,2016-01-15,null,LANDLINE,S TEX ONCOLOGY,"IsConnected,IsPorted",2105932503,BUSINESS,78229,TELEPORT COM AM - TX,SAN ANTONIO,TEXAS,MED,OFFICES AND CLINICS OF MEDICAL DOCTORS,TX
4,9311 MASON-MONTGOMER RD,CINCINNATI,2010-08-27,null,LANDLINE,ALLIANCE PRIMARY CARE MASON OH,"IsPorted,IsPossibleDisconnected,INF",5135846898,BUSINESS,45219,CBTS TECH SOL LLC-OH,CINCINNATI,OHIO,LOW,null,OH
5,null,null,null,null,LANDLINE,null,IsUnknownContact,4126053020,null,null,VERIZON PENNSYLVANIA,PITTSBURGH,PENNSYLVANIA,null,null,null
6,200 HAWKINS DR,IOWA CITY,null,null,LANDLINE,UNIVERSITY OF IOWA HOSPITAL,IsMailable,3193849067,BUSINESS,52242-1009,QWEST CORPORATION,IOWA CITY,IOWA,LOW,null,IA
7,739 N JEFFERSON ST,MASCOUTAH,null,38.497131,LANDLINE,RURAL FAMILY MEDICINE ASSOCIATES PHYSICIANS,"IsMailable,IsConnected",6185668810,BUSINESS,62258-1447,FRONTIER NORTH - IL,MASCOUTAH,ILLINOIS,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,IL
8,4311 11TH AVE NE STE 600,SEATTLE,2013-09-10,null,VOIP,MIKA SINANAN,"IsMailable,IsPorted",2065435511,RESIDENTIAL,98105-6369,MAGNA5 LLC,SEATTLE,WASHINGTON,LOW,null,WA
9,null,null,null,null,LANDLINE,null,IsUnknownContact,7195622360,null,null,QWEST CORPORATION,PUEBLO,COLORADO,null,null,null
