,Address,City,Date,Latitude,LineType,Name,NoteDescriptions,OFFICE_TELEPHONE,PhoneType,PostalCode,Provider,ProviderCity,ProviderState,QualityScore,SICDesc,State
0,725 S ATLANTIC BLVD APT B,MONTEREY PARK,null,null,LANDLINE,THOMAS M LIN MD PHYSICIANS SURGEONS,"IsMailable,IsConnected",6265769929,BUSINESS,91754-3856,PACIFIC BELL,ALHAMBRA,CALIFORNIA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,MEDICAL INSURANCE ASSOCIATIONS",CA
1,null,PHOENIX,null,null,LANDLINE,PHX CHILDRENS H,IsConnected,6025460935,BUSINESS,85012,QWEST CORPORATION,PHOENIX,ARIZONA,MED,"OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS",AZ
2,8400 PERRY HWY,PITTSBURGH,null,40.559708,LANDLINE,NARAYANAN KRISHNA MD,"IsMailable,IsPossibleDisconnected,INF",4123643117,BUSINESS,15237-5235,VERIZON PENNSYLVANIA,PITTSBURGH,PENNSYLVANIA,LOW,null,PA
3,10184 SANDSTONE TRL,COLUMBIA STATION,null,null,LANDLINE,PHYSICIANS EDGE,"IsMailable,IsPossibleDisconnected,INF",4402368484,BUSINESS,44028-9823,"WINDSTREAM OHIO, LLC",COLUMBIA STATION,OHIO,LOW,null,OH
4,2026 E KLEINDALE RD,TUCSON,null,32.268525,LANDLINE,MATTHEW TROUARD,"IsMailable,IsConnected",5203225418,RESIDENTIAL,85719-2439,QWEST CORPORATION,TUCSON,ARIZONA,HIGH,null,AZ
5,1900 E TAHQUITZ CANYON WAY STE A2,PALM SPRINGS,null,33.823218,LANDLINE,FRAGEN RONALD A MD A MEDICAL CORP,"IsMailable,IsConnected",7603271226,BUSINESS,92262-7060,FRONTIER CALIFORNIA,PALM SPRINGS,CALIFORNIA,HIGH,OFFICES AND CLINICS OF MEDICAL DOCTORS,CA
6,2002 N STOCKTON HILL RD STE 102,KINGMAN,null,35.205472,LANDLINE,JOE DR GOCHOCO PLLC,"IsMailable,IsConnected",9287184375,BUSINESS,86401-4698,FRONTIER UTIL RURAL,KINGMAN,ARIZONA,HIGH,"OFFICES AND CLINICS OF MEDICAL DOCTORS,HEALTH AND ALLIED SERVICES, NEC",AZ
7,1511 TAMIAMI TRL S STE 201,VENICE,null,null,LANDLINE,DONALD A MCEACHERN,"IsMailable,IsPossibleDisconnected,INF",9414972138,RESIDENTIAL,34285-5578,FRONTIER COMM OF FL,VENICE,FLORIDA,LOW,null,FL
8,800 W AIRPORT FWY,IRVING,null,null,LANDLINE,ADAPT OF TEXAS,"IsMailable,IsPossibleDisconnected,INF",9725547131,BUSINESS,75062-6312,FRONTIER COMM OF TX,IRVING,TEXAS,LOW,null,TX
9,1020 OAKWOOD DR,WESTMONT,null,41.819533,LANDLINE,SAEED M AWAN,"IsMailable,IsPossibleDisconnected,INF",6307898030,RESIDENTIAL,60559-1040,AMERITECH ILLINOIS,HINSDALE,ILLINOIS,LOW,null,IL
