Pair,TP,FP,Precision,Recall,FPR,,Total Identified,Good Numbers Deleted,Cost,True Recall:,,,,,,,
"Low Quality, Address Mismatch",178,38,0.824074074,0.298657718,0.085393258,,201.5939597,15.58426966, $1.33 ,0.149328859,,,,,,,
"Low Quality, No Date",193,23,0.893518519,0.323825503,0.051685393,,218.5822148,9.43258427, $1.23 ,0.161912752,,,,,,,
"Low Quality, Not a Relevant Name",113,27,0.807142857,0.189597315,0.060674157,,127.9781879,11.07303371, $2.10 ,0.094798658,,,,,,,
"Low Quality, Not High Quality",230,56,0.804195804,0.38590604,0.125842697,,260.4865772,22.96629213, $1.03 ,0.19295302,,,,,,,
"Low Quality, Not Mailable",50,20,0.714285714,0.083892617,0.04494382,,56.62751678,8.202247191, $4.74 ,0.041946309,,,,,,,
"Low Quality, Possibly Disconnected",129,10,0.928057554,0.216442953,0.02247191,,146.0989933,4.101123596, $1.84 ,0.108221477,,,,,,,
"Low Quality, Residential Phone",67,14,0.827160494,0.112416107,0.031460674,,75.88087248,5.741573034, $3.54 ,0.056208054,,Dataset size:,,,,,"5,000"
"No Address, Low Quality",49,19,0.720588235,0.082214765,0.042696629,,55.49496644,7.792134831, $4.84 ,0.041107383,,Actual Percentage of Disconnected Numbers:,,,,,0.27
"No Address, No Date",91,25,0.784482759,0.152684564,0.056179775,,103.0620805,10.25280899, $2.61 ,0.076342282,,Number of True Disconnected:,,,,,1350
"No Address, No Name",32,5,0.864864865,0.053691275,0.011235955,,36.24161074,2.050561798, $7.41 ,0.026845638,,RPV True Disconnected Caught:,,,,,675
"No Address, Not a Relevant Name",85,27,0.758928571,0.14261745,0.060674157,,96.26677852,11.07303371, $2.79 ,0.071308725,,RPV False Postive Rate:,,,,,0.05
"No Address, Not High Quality",110,50,0.6875,0.184563758,0.112359551,,124.5805369,20.50561798, $2.16 ,0.092281879,,RPV False Postives:,,,,,182.5
"No Address, Possibly Disconnected",22,1,0.956521739,0.036912752,0.002247191,,24.91610738,0.41011236, $10.78 ,0.018456376,,RPV Sample Sent to GetPhone:,,,,,857.5
"No Address, Residential Phone",18,9,0.666666667,0.030201342,0.020224719,,20.38590604,3.691011236, $13.18 ,0.015100671,,RPV Cost:,,,,, $200.00 
"No Address, Unknown Contact",32,5,0.864864865,0.053691275,0.011235955,,36.24161074,2.050561798, $7.41 ,0.026845638,,GetPhone Cost:,,,,, $68.60 
"Not a Relevant SIC, Address Mismatch",231,76,0.752442997,0.387583893,0.170786517,,261.6191275,31.16853933, $1.03 ,0.193791946,,Total Cost:,,,,, $268.60 
"Not a Relevant SIC, Low Quality",162,45,0.782608696,0.271812081,0.101123596,,183.4731544,18.45505618, $1.46 ,0.13590604,,,,,,,
"Not a Relevant SIC, No Address",102,48,0.68,0.17114094,0.107865169,,115.5201342,19.68539326, $2.33 ,0.08557047,,GetPhone Recall,,,,,0.298657718
"Not a Relevant SIC, No Date",226,49,0.821818182,0.379194631,0.11011236,,255.9563758,20.09550562, $1.05 ,0.189597315,,,,,,,
