,Address Match,Business Phone,City Match,Connected,Disconnected,High Quality,INF,Last Name Match,Low Quality,Mailable,Medium Quality,NO SIC,No Address,No Date,Ported,Possibly Portable VOIP,Relevant Name,Relevant SIC,State Match,ZipCode Match,predicted,actual
776,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,disconnected,disconnected
382,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
30,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,disconnected,disconnected
676,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
458,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,connected,disconnected
59,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,disconnected,disconnected
203,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
132,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
337,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
591,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,disconnected,disconnected
257,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,disconnected,disconnected
836,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
338,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,connected,connected
322,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,disconnected,disconnected
187,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
48,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
512,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,disconnected,disconnected
27,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
464,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,disconnected,disconnected
632,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,connected
704,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,disconnected,connected
625,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,disconnected
77,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,connected
752,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,disconnected
580,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,connected,disconnected
481,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
19,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,connected,connected
628,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,disconnected
31,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,disconnected,disconnected
415,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,disconnected,connected
465,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
71,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
589,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,disconnected
565,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,connected,disconnected
820,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
233,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,connected,connected
253,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,disconnected,disconnected
238,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,disconnected,disconnected
315,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,disconnected,disconnected
498,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,disconnected,disconnected
97,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,disconnected,disconnected
12,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,connected,connected
658,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,disconnected,connected
107,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,connected,disconnected
866,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
256,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,disconnected,disconnected
404,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,connected,connected
75,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,disconnected,connected
447,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,disconnected,disconnected
542,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,disconnected
37,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,disconnected,disconnected
824,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,connected,connected
215,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,connected,connected
251,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,connected,disconnected
102,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,disconnected,disconnected
44,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
304,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,disconnected,disconnected
559,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,disconnected,disconnected
611,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,disconnected,disconnected
835,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,connected,connected
564,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,disconnected,disconnected
239,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,disconnected,disconnected
746,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,connected
843,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,connected,connected
657,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,connected,connected
352,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,disconnected,connected
6,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,disconnected,connected
443,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,disconnected,connected
324,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,disconnected,disconnected
54,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,disconnected,disconnected
479,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,connected,disconnected
598,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,disconnected,disconnected
484,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,disconnected,disconnected
98,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,connected,disconnected
515,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,disconnected,disconnected
715,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,disconnected,connected
841,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,disconnected,connected
