,0
0,12.074 sq mi
1,1.69 sq mi
2,0 sq mi
3,44.072 sq mi
4,0 sq mi
5,81.307 sq mi
6,8.031 sq mi
7,1.158 sq mi
8,0.188 sq mi
9,0 sq mi
10,0 sq mi
11,4.716 sq mi
12,32.027 sq mi
13,145.756 sq mi
14,18.244 sq mi
15,10.47 sq mi
16,9.999 sq mi
17,5.94 sq mi
18,24.538 sq mi
19,24.495 sq mi
20,3.727 sq mi
21,0.732 sq mi
22,2.778 sq mi
23,159.383 sq mi
24,94.103 sq mi
25,11.07 sq mi
26,172.757 sq mi
27,0 sq mi
28,232.732 sq mi
29,169.271 sq mi
30,0 sq mi
31,0 sq mi
32,0.452 sq mi
33,0.708 sq mi
34,6.439 sq mi
35,4.088 sq mi
36,1.423 sq mi
37,87.403 sq mi
38,8.78 sq mi
39,2.196 sq mi
40,9.373 sq mi
41,99.992 sq mi
42,0 sq mi
43,5.602 sq mi
44,4.507 sq mi
45,3.811 sq mi
46,6.902 sq mi
47,195.6 sq mi
48,0.009 sq mi
49,8.165 sq mi
50,1.796 sq mi
51,2.26 sq mi
52,0 sq mi
53,5.766 sq mi
54,277.738 sq mi
55,0.027 sq mi
56,3.802 sq mi
57,91.662 sq mi
58,2.411 sq mi
59,14.293 sq mi
60,0.323 sq mi
61,0.016 sq mi
62,1.641 sq mi
63,12.668 sq mi
64,9.183 sq mi
65,0 sq mi
66,22.436 sq mi
67,28.431 sq mi
68,0.058 sq mi
69,0.64 sq mi
70,6.019 sq mi
71,1.704 sq mi
72,29.9 sq mi
73,33.258 sq mi
74,12.139 sq mi
75,9.229 sq mi
76,0.924 sq mi
77,0.164 sq mi
78,1.347 sq mi
79,125.277 sq mi
80,0.995 sq mi
81,108.07 sq mi
82,56.905 sq mi
83,53.332 sq mi
84,166.077 sq mi
85,0 sq mi
86,6.536 sq mi
87,8.78 sq mi
88,38.101 sq mi
89,3.751 sq mi
90,2.562 sq mi
91,0 sq mi
92,114.54 sq mi
93,7.765 sq mi
94,7.057 sq mi
95,0.028 sq mi
96,0.184 sq mi
97,21.863 sq mi
98,141.096 sq mi
99,1.48 sq mi
100,0.109 sq mi
101,3.756 sq mi
102,105.65 sq mi
103,0.32 sq mi
104,0.011 sq mi
105,1.116 sq mi
106,9.489 sq mi
107,6.674 sq mi
108,0.18 sq mi
109,1.061 sq mi
110,0.079 sq mi
111,169.877 sq mi
112,3.798 sq mi
113,2.019 sq mi
114,7.57 sq mi
115,16.077 sq mi
116,9.394 sq mi
117,94.765 sq mi
118,0.297 sq mi
119,0.846 sq mi
120,6.17 sq mi
121,0.001 sq mi
122,5.128 sq mi
123,2.824 sq mi
124,55.692 sq mi
125,0.081 sq mi
126,0.009 sq mi
127,17.704 sq mi
128,54.232 sq mi
129,6.482 sq mi
130,2.958 sq mi
131,2.73 sq mi
132,88.321 sq mi
133,1.703 sq mi
134,89.589 sq mi
135,44.101 sq mi
136,2.328 sq mi
137,1.599 sq mi
138,1.692 sq mi
139,0.451 sq mi
140,25.616 sq mi
141,19.792 sq mi
142,8.796 sq mi
143,0.823 sq mi
144,4.865 sq mi
145,289.039 sq mi
146,14.009 sq mi
147,0 sq mi
148,0 sq mi
149,149.585 sq mi
150,3.233 sq mi
151,1.949 sq mi
152,3.751 sq mi
153,5.581 sq mi
154,5.992 sq mi
155,176.552 sq mi
156,4.83 sq mi
157,7.349 sq mi
158,0.374 sq mi
159,172.548 sq mi
160,1.907 sq mi
161,2.598 sq mi
162,5.199 sq mi
163,5.76 sq mi
164,9.611 sq mi
165,0.001 sq mi
166,24.042 sq mi
167,12.084 sq mi
168,0.266 sq mi
169,25.348 sq mi
170,32.556 sq mi
171,3.934 sq mi
172,13.167 sq mi
173,23.569 sq mi
174,20.517 sq mi
175,0.61 sq mi
176,119.588 sq mi
177,8.954 sq mi
178,14.102 sq mi
179,40.09 sq mi
180,9.808 sq mi
181,14.528 sq mi
182,0.585 sq mi
183,102.849 sq mi
184,28.844 sq mi
185,0.401 sq mi
186,0.601 sq mi
