,0
0,48197
1,48154
2,48120
3,97850
4,57301
5,48187
6,56560
7,48824
8,48201
9,49201
10,49503
11,48602
12,43701
13,94143
14,48109
15,43614
16,48105
17,49008
18,48108
19,98105
20,43606
21,14642
22,43608
23,48503
24,48103
25,32808
26,48202
27,11213
28,48236
29,15213
30,46135
31,48073
32,60612
33,32207
34,25504
35,49525
36,48310
37,49855
38,48313
39,49013
40,48912
41,48091
42,48124
43,10467
44,48034
45,48375
46,48093
47,48088
48,28803
49,48152
50,48341
51,48307
52,48104
53,48065
54,49781
55,48801
56,49418
57,48066
58,45229
59,49684
60,48823
61,48708
62,49203
63,48092
64,48439
65,48135
66,49058
67,53142
68,48629
69,48813
70,48080
71,48205
72,48309
73,48075
74,60611
75,48430
76,95608
77,11203
78,48532
79,63501
80,48221
81,48519
82,48846
83,95757
84,46202
85,48228
86,48161
87,48084
88,49504
89,48025
90,49424
91,49913
92,54501
93,48183
94,48211
95,48226
96,48044
97,48198
98,48009
99,48328
100,48706
101,48659
102,48314
103,48324
104,33196
105,49770
106,48382
107,48323
108,49546
109,48302
110,39216
111,66160
112,11777
113,46614
114,60202
115,49801
116,48180
117,48910
118,48081
119,46514
120,49441
121,49442
122,48604
123,48235
124,48186
125,48502
126,48185
127,49024
128,49423
129,49427
130,48306
131,48184
132,49509
133,48126
134,85253
135,55305
136,10016
137,48239
138,97239
139,48732
140,45219
141,48035
142,48603
143,30312
144,48083
145,49548
146,48858
147,91911
148,49829
149,49601
150,48150
151,80907
152,48623
153,49093
154,49017
155,60108
156,49316
157,28547
158,48312
159,90502
160,49022
161,48054
162,48220
163,48301
164,49444
165,48640
166,49454
167,48162
168,43537
169,48386
170,49068
171,48116
172,48071
173,48336
174,48213
175,48334
176,48038
177,48189
178,49519
179,10065
180,30342
181,60707
182,60467
183,33308
184,49106
185,48444
186,48219
187,48915
188,48933
189,48446
190,48085
191,48017
192,48917
193,48014
194,48304
195,60160
196,21236
197,48082
198,49616
199,49783
200,90048
201,48867
202,91367
203,49098
204,49085
205,53821
206,48033
207,48047
208,79029
209,60614
210,43616
211,49341
212,48212
213,48331
214,48504
215,48509
216,85006
217,61801
218,48423
219,49841
220,48642
221,49866
222,48374
223,48178
224,48237
225,49079
226,49080
227,49450
228,48174
229,48730
230,49544
231,42503
232,48326
233,47331
234,48360
235,21201
236,44195
237,48315
238,54143
239,49007
240,48043
241,48060
242,48118
243,60302
244,29303
245,49307
246,49428
247,49505
248,48230
249,14203
250,14569
251,26537
252,80218
253,84065
254,53581
255,99301
256,48820
257,49858
258,37027
259,48170
260,33461
261,48507
262,48377
263,48067
264,48884
265,47710
266,48138
267,17602
268,22908
269,74464
270,49333
271,94577
272,49660
273,60153
274,55905
275,49415
276,48114
277,96813
278,63110
279,48843
280,48070
281,23708
282,49727
283,11772
284,20755
285,97209
286,48322
287,21133
288,11374
289,55455
290,48327
291,49712
292,30322
293,12208
294,43210
295,77030
296,79905
297,90095
298,76301
299,15238
300,30553
301,92121
302,92024
303,43617
304,19104
305,11355
306,47804
307,21287
308,40391
309,44136
310,49236
311,48203
312,91343
313,63141
314,49048
315,10457
316,37208
317,19107
318,12901
319,26003
320,49682
321,49646
322,48879
323,49720
324,48617
325,97233
326,50010
327,48089
328,75024
329,80045
330,93246
331,48906
332,91105
333,49327
334,48838
335,32935
336,59101
337,10029
338,31520
339,54304
340,11219
341,46383
342,49412
343,29605
344,21215
345,60637
346,89106
347,19013
348,44304
349,32224
350,60169
351,58201
352,60521
353,60608
354,11201
355,43604
356,63108
357,13210
358,27834
359,32610
360,48207
361,48342
362,45267
363,33907
364,31602
365,18103
366,62521
367,22903
368,26506
369,48442
370,75904
371,48076
372,32806
373,48210
374,48168
375,49009
376,48413
377,15212
378,98223
379,55805
380,75240
381,61350
382,64804
383,62062
384,94105
385,77040
386,28403
387,49037
388,46032
389,49507
390,78212
391,75235
392,22304
393,49506
394,64111
395,49508
396,48106
397,48072
398,89030
399,49788
400,62702
401,48601
402,60064
403,48167
404,49686
405,49087
406,48195
407,48553
408,48193
409,44035
410,77555
411,48357
412,60022
413,21403
414,48098
415,48042
416,85739
417,48433
418,39402
419,90640
420,13021
421,49701
422,85016
423,48048
424,48192
425,48811
426,30901
427,48390
428,44504
429,48723
430,49930
431,48182
432,32250
433,17522
434,37232
435,48227
436,49738
437,49945
438,48506
439,60453
440,49202
441,20007
442,49512
443,94304
444,43202
445,49707
446,49127
447,89048
448,46410
449,78207
450,11021
451,11215
452,33009
453,49862
454,48756
455,14214
456,17403
457,52246
458,74136
459,49630
460,36111
461,85206
462,48340
463,48176
464,48429
465,30310
466,49401
467,34761
468,85013
469,48880
470,49431
471,15215
472,49242
473,48101
474,85008
475,49078
476,46321
477,49010
478,60689
479,97304
480,92019
481,23298
482,20910
483,21204
484,43560
485,49615
486,37604
487,48864
488,57401
489,49456
490,48346
491,52245
492,49247
493,95357
494,87401
495,48551
496,49036
497,60461
498,48638
499,27514
500,53713
501,48381
502,30009
503,95817
504,71638
505,49464
506,58103
507,48214
508,49677
509,49006
510,48911
511,49002
512,53792
513,89191
514,49103
515,10021
516,98122
517,22031
518,48653
519,48552
520,48111
521,98499
522,48040
523,45429
524,48079
525,77571
526,12601
527,48097
528,33511
529,33136
530,48027
531,72205
532,29406
533,30326
534,94080
535,48021
536,20904
537,48127
538,27710
539,99708
540,40536
541,19102
542,21224
543,71103
544,78028
545,70006
546,70118
547,58203
548,60647
549,33803
550,60402
551,44113
552,44906
553,79601
554,30329
555,46805
556,48316
557,93301
558,60649
559,60088
560,46360
561,97027
562,49221
563,44106
564,55344
565,30501
566,22060
567,33919
568,59901
569,75390
570,92037
571,30097
572,30041
573,30328
574,55101
575,44141
576,10305
577,19141
578,20024
579,44122
580,67214
581,78229
582,43623
583,14020
584,59405
585,16507
586,19428
587,31533
588,59802
589,37411
590,48670
591,54311
592,64108
593,54303
594,54301
595,95138
596,49057
597,80909
598,96793
599,34952
600,89128
601,87102
602,79920
603,98104
604,77380
605,80246
606,33155
607,80204
608,55435
609,60091
610,52761
611,60504
612,61614
613,30076
614,46617
615,27705
616,61832
617,54601
618,37211
619,84098
620,31634
621,30024
622,60805
623,44130
624,94115
625,92083
626,10041
627,77004
628,19460
629,10003
630,33016
631,60622
632,47303
633,60901
634,60089
635,60563
636,43952
637,33624
638,97526
639,90024
640,33603
641,33602
642,33614
643,84119
644,48755
645,97401
646,87106
647,39202
648,53705
649,59105
650,24382
651,68198
652,28144
653,30165
654,31408
655,31901
656,30281
657,30106
658,31510
659,31201
660,30904
661,30114
662,30517
663,30084
664,53226
665,75216
666,30236
667,30340
668,30303
669,30058
670,30214
671,31062
672,30349
673,30034
674,30909
675,31909
676,30319
677,68113
678,31036
679,29506
680,37404
681,35242
682,35801
683,30033
684,36301
685,36801
686,62269
687,56482
688,67530
689,30030
690,87114
691,30401
692,97128
693,61761
694,31088
695,53406
696,30308
697,38163
698,77384
699,63127
700,30046
701,10994
702,60617
703,20722
704,30120
705,60616
706,39110
707,12304
708,60618
709,30905
710,30344
711,30311
712,30305
713,37129
714,20010
715,31021
716,30525
717,30274
718,35233
719,30152
720,85024
721,49807
722,31501
723,29425
724,78731
725,60640
726,80524
727,85251
728,30809
729,30474
730,23601
731,24017
732,30040
733,67601
734,30912
735,33486
736,38671
737,20155
738,60068
739,60463
740,60477
741,71459
742,53215
743,92123
744,31404
745,30117
746,30121
747,31707
748,32608
749,31904
750,30143
751,93720
752,90057
753,95825
754,14621
755,18017
756,53221
757,61704
758,53405
759,30078
760,62959
761,60523
762,61104
763,61102
764,45415
765,61021
766,60415
767,32605
768,33709
769,33330
770,33401
771,33770
772,43219
773,34609
774,33606
775,43212
776,43220
777,23507
778,90802
779,84112
780,38103
781,53233
782,48130
783,10032
784,87544
785,27288
786,30060
787,30458
788,32765
789,85339
790,23321
791,30013
792,38614
793,31093
794,33064
795,83404
796,39204
797,30134
798,30309
799,30014
800,32960
801,65804
802,27536
803,10027
804,33525
805,37923
806,31406
807,23224
808,28304
809,44333
810,43214
811,19003
812,13357
813,95403
814,75093
815,35903
816,42223
817,10037
818,20876
819,53143
820,54115
821,80113
822,32550
823,47001
824,40243
825,47006
826,36695
827,36532
828,70112
829,22042
830,77642
831,54911
832,20037
833,92108
834,57701
835,38125
836,28210
837,61615
838,78681
839,37934
840,87131
841,70808
842,23229
843,30534
844,30338
845,30043
846,30189
847,34684
848,31206
849,30317
850,30318
851,30577
852,46902
853,60050
854,44111
855,76182
856,91342
857,99654
858,51301
859,20060
860,62656
861,45662
862,36732
863,45601
864,75225
865,45504
866,28054
867,50595
868,10451
869,88005
870,30265
871,22408
872,47201
873,35010
874,30005
875,84111
876,90058
877,75001
878,92128
879,78363
880,44139
881,78758
882,98118
883,33331
884,93703
885,77702
886,71109
887,40292
888,90045
889,10006
890,37321
891,37403
892,30720
893,30115
894,60657
895,30721
896,28207
897,28262
898,20814
899,82001
900,60026
901,30606
902,85750
903,30635
904,62901
905,90822
906,30666
907,31719
908,37916
909,32348
910,30339
911,30012
912,28741
913,60559
914,60674
915,60137
916,90033
917,29118
918,15224
919,17033
920,31015
921,60527
922,60613
923,97330
924,85034
925,92103
926,94107
927,94404
928,11030
929,94117
930,30022
931,37040
932,28203
933,76177
934,31546
935,37206
936,30144
937,72370
938,30080
939,80443
940,77014
941,88011
942,29461
943,33805
944,32542
945,33323
946,65201
947,93003
948,76707
949,60190
950,30307
951,45409
952,17101
953,10019
954,32504
955,60005
956,34109
957,38104
958,33322
959,38120
960,80220
961,18901
962,31210
963,42003
964,37347
965,95816
966,12524
967,39157
968,67502
969,76104
970,75149
971,66604
972,92692
973,20853
974,60010
975,60030
976,70503
977,16121
978,15905
979,33701
980,64132
981,99577
982,20735
983,68130
984,78234
985,11787
986,11717
987,89102
988,60631
989,39501
990,33027
991,18840
992,28083
993,21202
994,75052
995,49935
996,95991
997,32751
998,62301
999,36502
1000,22407
1001,88001
1002,88310
1003,18015
1004,43528
1005,45431
1006,99204
1007,75251
1008,12550
1009,60426
1010,33612
1011,44710
1012,77478
1013,60007
1014,77024
1015,34239
1016,25801
1017,28607
1018,54650
1019,77074
1020,29203
1021,75067
1022,98155
1023,10458
1024,17822
1025,34667
1026,68105
1027,21044
1028,37203
1029,78756
1030,43221
1031,10010
1032,60201
1033,32827
1034,94063
1035,32506
1036,40207
1037,33771
1038,45840
1039,85037
1040,33781
1041,49120
1042,60487
1043,40202
1044,49015
1045,77089
1046,84108
1047,60525
1048,48416
1049,60045
1050,60062
1051,60035
1052,60714
1053,31558
1054,70056
1055,44223
1056,63017
1057,33421
1058,23188
1059,36207
1060,30504
1061,98431
1062,78205
1063,68502
1064,30331
1065,60134
1066,92868
1067,89502
1068,45701
1069,95340
1070,31217
1071,60304
1072,77070
1073,98033
1074,42101
1075,60181
1076,18042
1077,62703
1078,61603
1079,93636
1080,63104
1081,60564
1082,92161
1083,57105
1084,28204
1085,24014
1086,32308
1087,11373
1088,32086
1089,87701
1090,24701
1091,87505
1092,85042
1093,94602
1094,19146
1095,36867
1096,33411
1097,32266
1098,33761
1099,76801
1100,32750
1101,37363
1102,98664
1103,77521
1104,29572
1105,29732
1106,27573
1107,77494
1108,56164
1109,30324
1110,27932
1111,33913
1112,46260
1113,55407
1114,19087
1115,97504
1116,10310
1117,53706
1118,45236
1119,33462
1120,33175
1121,34972
1122,42104
1123,29860
1124,33909
1125,98109
1126,50316
1127,53578
1128,48854
1129,97219
1130,78236
1131,80230
1132,33901
1133,76028
1134,37228
1135,96815
1136,54701
1137,16509
1138,84121
1139,48188
1140,60123
1141,36617
1142,38801
1143,10024
1144,19124
1145,73104
1146,10075
1147,33143
1148,76544
1149,20889
1150,30824
1151,94612
1152,18702
1153,75503
1154,60914
1155,61637
1156,37920
1157,37745
1158,32025
1159,83814
1160,19301
1161,80222
1162,19718
1163,27609
1164,25304
1165,85224
1166,92505
1167,30341
1168,46601
1169,37212
1170,36083
1171,36604
1172,38732
1173,39401
1174,46256
1175,85032
1176,30907
1177,66211
1178,66606
1179,29169
1180,28722
1181,85364
1182,85029
1183,33760
1184,82901
1185,85258
1186,91436
1187,81003
1188,81501
1189,60194
1190,62781
1191,62701
1192,32204
1193,32803
1194,24153
1195,37217
1196,34102
1197,63118
1198,60615
1199,14226
1200,19046
1201,44022
1202,80439
1203,20166
1204,44622
1205,30253
1206,14263
1207,23226
1208,23230
1209,52402
1210,23235
1211,36608
1212,46804
1213,70115
1214,20901
1215,80111
1216,77339
1217,23462
1218,22960
1219,89109
