,0,Zipcode,Zipcode Area,0,,,,,,,
0,48197,48197,1.238 sq mi,1.238 sq mi,,,,,,,12.074 sq mi
1,48154,48154,11.616 sq mi,11.616 sq mi,,,,,,,1.69 sq mi
2,48120,48120,3.187 sq mi,3.187 sq mi,,,,,,,0 sq mi
3,97850,97850,289.315 sq mi,289.315 sq mi,,,,,,,44.072 sq mi
4,57301,57301,1.417 sq mi,1.417 sq mi,,,,,,,0 sq mi
5,48187,48187,0.012 sq mi,0.012 sq mi,,,,,,,81.307 sq mi
6,56560,56560,0 sq mi,0 sq mi,,,,,,,8.031 sq mi
7,48824,48824,0 sq mi,0 sq mi,,,,,,,1.158 sq mi
8,48201,48201,2.005 sq mi,2.005 sq mi,,,,,,,0.188 sq mi
9,49201,49201,152.632 sq mi,152.632 sq mi,,,,,,,0 sq mi
10,49503,49503,0.183 sq mi,0.183 sq mi,,,,,,,0 sq mi
11,48602,48602,7.831 sq mi,7.831 sq mi,,,,,,,4.716 sq mi
12,43701,43701,180.334 sq mi,180.334 sq mi,,,,,,,32.027 sq mi
13,94143,94143,0 sq mi,0 sq mi,,,,,,,145.756 sq mi
14,48109,48109,0 sq mi,0 sq mi,,,,,,,18.244 sq mi
15,43614,43614,9.029 sq mi,9.029 sq mi,,,,,,,10.47 sq mi
16,48105,48105,0.802 sq mi,0.802 sq mi,,,,,,,9.999 sq mi
17,49008,49008,6.55 sq mi,6.55 sq mi,,,,,,,5.94 sq mi
18,48108,48108,16.974 sq mi,16.974 sq mi,,,,,,,24.538 sq mi
19,98105,98105,2.484 sq mi,2.484 sq mi,,,,,,,24.495 sq mi
20,43606,43606,6.521 sq mi,6.521 sq mi,,,,,,,3.727 sq mi
21,14642,14642,0 sq mi,0 sq mi,,,,,,,0.732 sq mi
22,43608,43608,3.625 sq mi,3.625 sq mi,,,,,,,2.778 sq mi
23,48503,48503,8.203 sq mi,8.203 sq mi,,,,,,,159.383 sq mi
24,48103,48103,0.462 sq mi,0.462 sq mi,,,,,,,94.103 sq mi
25,32808,32808,11.978 sq mi,11.978 sq mi,,,,,,,11.07 sq mi
26,48202,48202,3.327 sq mi,3.327 sq mi,,,,,,,172.757 sq mi
27,11213,11213,1.091 sq mi,1.091 sq mi,,,,,,,0 sq mi
28,48236,48236,7.515 sq mi,7.515 sq mi,,,,,,,232.732 sq mi
29,15213,15213,2.131 sq mi,2.131 sq mi,,,,,,,169.271 sq mi
30,46135,46135,0.75 sq mi,0.75 sq mi,,,,,,,0 sq mi
31,48073,48073,7.376 sq mi,7.376 sq mi,,,,,,,0 sq mi
32,60612,60612,3.747 sq mi,3.747 sq mi,,,,,,,0.452 sq mi
33,32207,32207,4.67 sq mi,4.67 sq mi,,,,,,,0.708 sq mi
34,25504,25504,49.596 sq mi,49.596 sq mi,,,,,,,6.439 sq mi
35,49525,49525,1.007 sq mi,1.007 sq mi,,,,,,,4.088 sq mi
36,48310,48310,0.027 sq mi,0.027 sq mi,,,,,,,1.423 sq mi
37,49855,49855,200.614 sq mi,200.614 sq mi,,,,,,,87.403 sq mi
38,48313,48313,0.157 sq mi,0.157 sq mi,,,,,,,8.78 sq mi
39,49013,49013,59.008 sq mi,59.008 sq mi,,,,,,,2.196 sq mi
40,48912,48912,4.801 sq mi,4.801 sq mi,,,,,,,9.373 sq mi
41,48091,48091,7.992 sq mi,7.992 sq mi,,,,,,,99.992 sq mi
42,48124,48124,8.855 sq mi,8.855 sq mi,,,,,,,0 sq mi
43,10467,10467,0 sq mi,0 sq mi,,,,,,,5.602 sq mi
44,48034,48034,4.32 sq mi,4.32 sq mi,,,,,,,4.507 sq mi
45,48375,48375,0.031 sq mi,0.031 sq mi,,,,,,,3.811 sq mi
46,48093,48093,5.653 sq mi,5.653 sq mi,,,,,,,6.902 sq mi
47,48088,48088,4.437 sq mi,4.437 sq mi,,,,,,,195.6 sq mi
48,28803,28803,38.33 sq mi,38.33 sq mi,,,,,,,0.009 sq mi
49,48152,48152,12.111 sq mi,12.111 sq mi,,,,,,,8.165 sq mi
50,48341,48341,6.391 sq mi,6.391 sq mi,,,,,,,1.796 sq mi
51,48307,48307,15.349 sq mi,15.349 sq mi,,,,,,,2.26 sq mi
52,48104,48104,0.247 sq mi,0.247 sq mi,,,,,,,0 sq mi
53,48065,48065,37.386 sq mi,37.386 sq mi,,,,,,,5.766 sq mi
54,49781,49781,78.666 sq mi,78.666 sq mi,,,,,,,277.738 sq mi
55,48801,48801,71.448 sq mi,71.448 sq mi,,,,,,,0.027 sq mi
56,49418,49418,18.925 sq mi,18.925 sq mi,,,,,,,3.802 sq mi
57,48066,48066,9.852 sq mi,9.852 sq mi,,,,,,,91.662 sq mi
58,45229,45229,2.73 sq mi,2.73 sq mi,,,,,,,2.411 sq mi
59,49684,49684,100.727 sq mi,100.727 sq mi,,,,,,,14.293 sq mi
60,48823,48823,22.427 sq mi,22.427 sq mi,,,,,,,0.323 sq mi
61,48708,48708,27.864 sq mi,27.864 sq mi,,,,,,,0.016 sq mi
62,49203,49203,26.267 sq mi,26.267 sq mi,,,,,,,1.641 sq mi
63,48092,48092,8.191 sq mi,8.191 sq mi,,,,,,,12.668 sq mi
64,48439,48439,0.478 sq mi,0.478 sq mi,,,,,,,9.183 sq mi
65,48135,48135,5.868 sq mi,5.868 sq mi,,,,,,,0 sq mi
66,49058,49058,147.36 sq mi,147.36 sq mi,,,,,,,22.436 sq mi
67,53142,53142,21.642 sq mi,21.642 sq mi,,,,,,,28.431 sq mi
68,48629,48629,80.141 sq mi,80.141 sq mi,,,,,,,0.058 sq mi
69,48813,48813,169.805 sq mi,169.805 sq mi,,,,,,,0.64 sq mi
70,48080,48080,0.728 sq mi,0.728 sq mi,,,,,,,6.019 sq mi
71,48205,48205,6.383 sq mi,6.383 sq mi,,,,,,,1.704 sq mi
72,48309,48309,15.457 sq mi,15.457 sq mi,,,,,,,29.9 sq mi
73,48075,48075,7.396 sq mi,7.396 sq mi,,,,,,,33.258 sq mi
74,60611,60611,0.596 sq mi,0.596 sq mi,,,,,,,12.139 sq mi
75,48430,48430,82.958 sq mi,82.958 sq mi,,,,,,,9.229 sq mi
76,95608,95608,13.041 sq mi,13.041 sq mi,,,,,,,0.924 sq mi
77,11203,11203,2.146 sq mi,2.146 sq mi,,,,,,,0.164 sq mi
78,48532,48532,15.305 sq mi,15.305 sq mi,,,,,,,1.347 sq mi
79,63501,63501,1.243 sq mi,1.243 sq mi,,,,,,,125.277 sq mi
80,48221,48221,5.452 sq mi,5.452 sq mi,,,,,,,0.995 sq mi
81,48519,48519,7.722 sq mi,7.722 sq mi,,,,,,,108.07 sq mi
82,48846,48846,108.408 sq mi,108.408 sq mi,,,,,,,56.905 sq mi
83,95757,95757,60.455 sq mi,60.455 sq mi,,,,,,,53.332 sq mi
84,46202,46202,5.581 sq mi,5.581 sq mi,,,,,,,166.077 sq mi
85,48228,48228,8.61 sq mi,8.61 sq mi,,,,,,,0 sq mi
86,48161,48161,44.758 sq mi,44.758 sq mi,,,,,,,6.536 sq mi
87,48084,48084,6.181 sq mi,6.181 sq mi,,,,,,,8.78 sq mi
88,49504,49504,0.202 sq mi,0.202 sq mi,,,,,,,38.101 sq mi
89,48025,48025,0.015 sq mi,0.015 sq mi,,,,,,,3.751 sq mi
90,49424,49424,57.407 sq mi,57.407 sq mi,,,,,,,2.562 sq mi
91,49913,49913,1.644 sq mi,1.644 sq mi,,,,,,,0 sq mi
92,54501,54501,25.526 sq mi,25.526 sq mi,,,,,,,114.54 sq mi
93,48183,48183,18.587 sq mi,18.587 sq mi,,,,,,,7.765 sq mi
94,48211,48211,4.189 sq mi,4.189 sq mi,,,,,,,7.057 sq mi
95,48226,48226,1.235 sq mi,1.235 sq mi,,,,,,,0.028 sq mi
96,48044,48044,0.075 sq mi,0.075 sq mi,,,,,,,0.184 sq mi
97,48198,48198,0.879 sq mi,0.879 sq mi,,,,,,,21.863 sq mi
98,48009,48009,0.012 sq mi,0.012 sq mi,,,,,,,141.096 sq mi
99,48328,48328,2.572 sq mi,2.572 sq mi,,,,,,,1.48 sq mi
100,48706,48706,66.988 sq mi,66.988 sq mi,,,,,,,0.109 sq mi
101,48659,48659,79.7 sq mi,79.7 sq mi,,,,,,,3.756 sq mi
102,48314,48314,0.034 sq mi,0.034 sq mi,,,,,,,105.65 sq mi
103,48324,48324,8.598 sq mi,8.598 sq mi,,,,,,,0.32 sq mi
104,33196,33196,24.495 sq mi,24.495 sq mi,,,,,,,0.011 sq mi
105,49770,49770,109.681 sq mi,109.681 sq mi,,,,,,,1.116 sq mi
106,48382,48382,1.894 sq mi,1.894 sq mi,,,,,,,9.489 sq mi
107,48323,48323,8.736 sq mi,8.736 sq mi,,,,,,,6.674 sq mi
108,49546,49546,0.62 sq mi,0.62 sq mi,,,,,,,0.18 sq mi
109,48302,48302,1.162 sq mi,1.162 sq mi,,,,,,,1.061 sq mi
110,39216,39216,0.154 sq mi,0.154 sq mi,,,,,,,0.079 sq mi
111,66160,66160,0 sq mi,0 sq mi,,,,,,,169.877 sq mi
112,11777,11777,2.105 sq mi,2.105 sq mi,,,,,,,3.798 sq mi
113,46614,46614,52.909 sq mi,52.909 sq mi,,,,,,,2.019 sq mi
114,60202,60202,3.055 sq mi,3.055 sq mi,,,,,,,7.57 sq mi
115,49801,49801,5.092 sq mi,5.092 sq mi,,,,,,,16.077 sq mi
116,48180,48180,23.597 sq mi,23.597 sq mi,,,,,,,9.394 sq mi
117,48910,48910,15.205 sq mi,15.205 sq mi,,,,,,,94.765 sq mi
118,48081,48081,1.336 sq mi,1.336 sq mi,,,,,,,0.297 sq mi
119,46514,46514,38.507 sq mi,38.507 sq mi,,,,,,,0.846 sq mi
120,49441,49441,14.386 sq mi,14.386 sq mi,,,,,,,6.17 sq mi
121,49442,49442,4.083 sq mi,4.083 sq mi,,,,,,,0.001 sq mi
122,48604,48604,24.922 sq mi,24.922 sq mi,,,,,,,5.128 sq mi
123,48235,48235,6.251 sq mi,6.251 sq mi,,,,,,,2.824 sq mi
124,48186,48186,8.259 sq mi,8.259 sq mi,,,,,,,55.692 sq mi
125,48502,48502,0.397 sq mi,0.397 sq mi,,,,,,,0.081 sq mi
126,48185,48185,12.167 sq mi,12.167 sq mi,,,,,,,0.009 sq mi
127,49024,49024,17.155 sq mi,17.155 sq mi,,,,,,,17.704 sq mi
128,49423,49423,77.609 sq mi,77.609 sq mi,,,,,,,54.232 sq mi
129,49427,49427,0 sq mi,0 sq mi,,,,,,,6.482 sq mi
130,48306,48306,22.73 sq mi,22.73 sq mi,,,,,,,2.958 sq mi
131,48184,48184,7.03 sq mi,7.03 sq mi,,,,,,,2.73 sq mi
132,49509,49509,0.02 sq mi,0.02 sq mi,,,,,,,88.321 sq mi
133,48126,48126,9.802 sq mi,9.802 sq mi,,,,,,,1.703 sq mi
134,85253,85253,17.978 sq mi,17.978 sq mi,,,,,,,89.589 sq mi
135,55305,55305,9.31 sq mi,9.31 sq mi,,,,,,,44.101 sq mi
136,10016,10016,0 sq mi,0 sq mi,,,,,,,2.328 sq mi
137,48239,48239,0.036 sq mi,0.036 sq mi,,,,,,,1.599 sq mi
138,97239,97239,3.551 sq mi,3.551 sq mi,,,,,,,1.692 sq mi
139,48732,48732,24.587 sq mi,24.587 sq mi,,,,,,,0.451 sq mi
140,45219,45219,0 sq mi,0 sq mi,,,,,,,25.616 sq mi
141,48035,48035,8.793 sq mi,8.793 sq mi,,,,,,,19.792 sq mi
142,48603,48603,18.309 sq mi,18.309 sq mi,,,,,,,8.796 sq mi
143,30312,30312,0 sq mi,0 sq mi,,,,,,,0.823 sq mi
144,48083,48083,8.641 sq mi,8.641 sq mi,,,,,,,4.865 sq mi
145,49548,49548,0.013 sq mi,0.013 sq mi,,,,,,,289.039 sq mi
146,48858,48858,172.881 sq mi,172.881 sq mi,,,,,,,14.009 sq mi
147,91911,91911,11.712 sq mi,11.712 sq mi,,,,,,,0 sq mi
148,49829,49829,65.138 sq mi,65.138 sq mi,,,,,,,0 sq mi
149,49601,49601,206.327 sq mi,206.327 sq mi,,,,,,,149.585 sq mi
150,48150,48150,11.986 sq mi,11.986 sq mi,,,,,,,3.233 sq mi
151,80907,80907,0.019 sq mi,0.019 sq mi,,,,,,,1.949 sq mi
152,48623,48623,73.617 sq mi,73.617 sq mi,,,,,,,3.751 sq mi
153,49093,49093,105.706 sq mi,105.706 sq mi,,,,,,,5.581 sq mi
154,49017,49017,55.467 sq mi,55.467 sq mi,,,,,,,5.992 sq mi
155,60108,60108,7.193 sq mi,7.193 sq mi,,,,,,,176.552 sq mi
156,49316,49316,56.913 sq mi,56.913 sq mi,,,,,,,4.83 sq mi
157,28547,28547,11.014 sq mi,11.014 sq mi,,,,,,,7.349 sq mi
158,48312,48312,0.076 sq mi,0.076 sq mi,,,,,,,0.374 sq mi
159,90502,90502,2.235 sq mi,2.235 sq mi,,,,,,,172.548 sq mi
160,49022,49022,68.78 sq mi,68.78 sq mi,,,,,,,1.907 sq mi
161,48054,48054,1.583 sq mi,1.583 sq mi,,,,,,,2.598 sq mi
162,48220,48220,0 sq mi,0 sq mi,,,,,,,5.199 sq mi
163,48301,48301,0.218 sq mi,0.218 sq mi,,,,,,,5.76 sq mi
164,49444,49444,0.559 sq mi,0.559 sq mi,,,,,,,9.611 sq mi
165,48640,48640,100.968 sq mi,100.968 sq mi,,,,,,,0.001 sq mi
166,49454,49454,73.077 sq mi,73.077 sq mi,,,,,,,24.042 sq mi
167,48162,48162,57.207 sq mi,57.207 sq mi,,,,,,,12.084 sq mi
168,43537,43537,18.374 sq mi,18.374 sq mi,,,,,,,0.266 sq mi
169,48386,48386,16.723 sq mi,16.723 sq mi,,,,,,,25.348 sq mi
170,49068,49068,129.453 sq mi,129.453 sq mi,,,,,,,32.556 sq mi
171,48116,48116,3.523 sq mi,3.523 sq mi,,,,,,,3.934 sq mi
172,48071,48071,7.094 sq mi,7.094 sq mi,,,,,,,13.167 sq mi
173,48336,48336,9.091 sq mi,9.091 sq mi,,,,,,,23.569 sq mi
174,48213,48213,6.534 sq mi,6.534 sq mi,,,,,,,20.517 sq mi
175,48334,48334,8.989 sq mi,8.989 sq mi,,,,,,,0.61 sq mi
176,48038,48038,10.963 sq mi,10.963 sq mi,,,,,,,119.588 sq mi
177,48189,48189,2.234 sq mi,2.234 sq mi,,,,,,,8.954 sq mi
178,49519,49519,0.159 sq mi,0.159 sq mi,,,,,,,14.102 sq mi
179,10065,10065,0.386 sq mi,0.386 sq mi,,,,,,,40.09 sq mi
180,30342,30342,0.071 sq mi,0.071 sq mi,,,,,,,9.808 sq mi
181,60707,60707,3.608 sq mi,3.608 sq mi,,,,,,,14.528 sq mi
182,60467,60467,14.551 sq mi,14.551 sq mi,,,,,,,0.585 sq mi
183,33308,33308,4.549 sq mi,4.549 sq mi,,,,,,,102.849 sq mi
184,49106,49106,15.71 sq mi,15.71 sq mi,,,,,,,28.844 sq mi
185,48444,48444,0.501 sq mi,0.501 sq mi,,,,,,,0.401 sq mi
186,48219,48219,8.407 sq mi,8.407 sq mi,,,,,,,0.601 sq mi
187,48915,48915,1.815 sq mi,1.815 sq mi,,,,,,,12.364 sq mi
188,48933,48933,0.754 sq mi,0.754 sq mi,,,,,,,11.285 sq mi
189,48446,48446,6.081 sq mi,6.081 sq mi,,,,,,,0.186 sq mi
190,48085,48085,9.31 sq mi,9.31 sq mi,,,,,,,261.461 sq mi
191,48017,48017,2.194 sq mi,2.194 sq mi,,,,,,,11.712 sq mi
192,48917,48917,24.317 sq mi,24.317 sq mi,,,,,,,0.067 sq mi
193,48014,48014,36.59 sq mi,36.59 sq mi,,,,,,,6.745 sq mi
194,48304,48304,0.093 sq mi,0.093 sq mi,,,,,,,0.032 sq mi
195,60160,60160,4.447 sq mi,4.447 sq mi,,,,,,,133.774 sq mi
196,21236,21236,8.567 sq mi,8.567 sq mi,,,,,,,0 sq mi
197,48082,48082,0.756 sq mi,0.756 sq mi,,,,,,,0 sq mi
198,49616,49616,36.947 sq mi,36.947 sq mi,,,,,,,0.762 sq mi
199,49783,49783,151.049 sq mi,151.049 sq mi,,,,,,,23.129 sq mi
200,90048,90048,0 sq mi,0 sq mi,,,,,,,32.794 sq mi
201,48867,48867,137.644 sq mi,137.644 sq mi,,,,,,,1.513 sq mi
202,91367,91367,7.441 sq mi,7.441 sq mi,,,,,,,19.132 sq mi
203,49098,49098,32.435 sq mi,32.435 sq mi,,,,,,,20.685 sq mi
204,49085,49085,2.6 sq mi,2.6 sq mi,,,,,,,22.35 sq mi
205,53821,53821,103.502 sq mi,103.502 sq mi,,,,,,,7.365 sq mi
206,48033,48033,8.964 sq mi,8.964 sq mi,,,,,,,1.218 sq mi
207,48047,48047,5.182 sq mi,5.182 sq mi,,,,,,,4.778 sq mi
208,79029,79029,300.861 sq mi,300.861 sq mi,,,,,,,73.044 sq mi
209,60614,60614,0.287 sq mi,0.287 sq mi,,,,,,,61.119 sq mi
