,0
0,1.238 sq mi
1,11.616 sq mi
2,3.187 sq mi
3,289.315 sq mi
4,1.417 sq mi
5,0.012 sq mi
6,0 sq mi
7,0 sq mi
8,2.005 sq mi
9,152.632 sq mi
10,0.183 sq mi
11,7.831 sq mi
12,180.334 sq mi
13,0 sq mi
14,0 sq mi
15,9.029 sq mi
16,0.802 sq mi
17,6.55 sq mi
18,16.974 sq mi
19,2.484 sq mi
20,6.521 sq mi
21,0 sq mi
22,Not found
23,3.625 sq mi
24,Not found
25,8.203 sq mi
26,0.462 sq mi
27,11.978 sq mi
28,3.327 sq mi
29,1.091 sq mi
30,7.515 sq mi
31,2.131 sq mi
32,0.75 sq mi
33,7.376 sq mi
34,3.747 sq mi
35,4.67 sq mi
36,49.596 sq mi
37,1.007 sq mi
38,0.027 sq mi
39,200.614 sq mi
40,0.157 sq mi
41,59.008 sq mi
42,4.801 sq mi
43,7.992 sq mi
44,8.855 sq mi
45,0 sq mi
46,4.32 sq mi
47,0.031 sq mi
48,5.653 sq mi
49,4.437 sq mi
50,38.33 sq mi
51,12.111 sq mi
52,6.391 sq mi
53,15.349 sq mi
54,0.247 sq mi
55,37.386 sq mi
56,78.666 sq mi
57,71.448 sq mi
58,18.925 sq mi
59,9.852 sq mi
60,2.73 sq mi
61,100.727 sq mi
62,22.427 sq mi
63,27.864 sq mi
64,26.267 sq mi
65,8.191 sq mi
66,0.478 sq mi
67,5.868 sq mi
68,147.36 sq mi
69,21.642 sq mi
70,80.141 sq mi
71,169.805 sq mi
72,0.728 sq mi
73,6.383 sq mi
74,15.457 sq mi
75,7.396 sq mi
76,0.596 sq mi
77,82.958 sq mi
78,13.041 sq mi
79,2.146 sq mi
80,15.305 sq mi
81,1.243 sq mi
82,5.452 sq mi
83,7.722 sq mi
84,108.408 sq mi
85,60.455 sq mi
86,5.581 sq mi
87,8.61 sq mi
88,44.758 sq mi
89,6.181 sq mi
90,0.202 sq mi
91,0.015 sq mi
92,57.407 sq mi
93,1.644 sq mi
94,25.526 sq mi
95,18.587 sq mi
96,4.189 sq mi
97,1.235 sq mi
98,0.075 sq mi
99,0.879 sq mi
100,0.012 sq mi
101,2.572 sq mi
102,66.988 sq mi
103,79.7 sq mi
104,0.034 sq mi
105,8.598 sq mi
106,24.495 sq mi
107,109.681 sq mi
108,1.894 sq mi
109,8.736 sq mi
110,0.62 sq mi
111,1.162 sq mi
112,0.154 sq mi
113,0 sq mi
114,2.105 sq mi
115,52.909 sq mi
116,3.055 sq mi
117,5.092 sq mi
118,23.597 sq mi
119,15.205 sq mi
120,1.336 sq mi
121,38.507 sq mi
122,14.386 sq mi
123,4.083 sq mi
124,24.922 sq mi
125,6.251 sq mi
126,8.259 sq mi
127,0.397 sq mi
128,12.167 sq mi
129,17.155 sq mi
130,77.609 sq mi
131,0 sq mi
132,22.73 sq mi
133,7.03 sq mi
134,0.02 sq mi
135,9.802 sq mi
136,17.978 sq mi
137,9.31 sq mi
138,0 sq mi
139,0.036 sq mi
140,3.551 sq mi
141,24.587 sq mi
142,0 sq mi
143,8.793 sq mi
144,18.309 sq mi
145,0 sq mi
146,8.641 sq mi
147,0.013 sq mi
148,172.881 sq mi
149,11.712 sq mi
150,65.138 sq mi
151,206.327 sq mi
152,11.986 sq mi
153,0.019 sq mi
154,73.617 sq mi
155,105.706 sq mi
156,55.467 sq mi
157,7.193 sq mi
158,56.913 sq mi
159,11.014 sq mi
160,0.076 sq mi
161,2.235 sq mi
162,68.78 sq mi
163,1.583 sq mi
164,0 sq mi
165,0.218 sq mi
166,0.559 sq mi
167,100.968 sq mi
168,73.077 sq mi
169,57.207 sq mi
170,18.374 sq mi
171,16.723 sq mi
172,129.453 sq mi
173,3.523 sq mi
174,7.094 sq mi
175,9.091 sq mi
176,6.534 sq mi
177,8.989 sq mi
178,10.963 sq mi
179,2.234 sq mi
180,Not found
181,0.159 sq mi
182,0.386 sq mi
183,0.071 sq mi
184,3.608 sq mi
185,14.551 sq mi
186,Not found
187,4.549 sq mi
188,15.71 sq mi
189,0.501 sq mi
190,8.407 sq mi
191,1.815 sq mi
192,0.754 sq mi
193,6.081 sq mi
194,9.31 sq mi
195,2.194 sq mi
196,24.317 sq mi
197,36.59 sq mi
198,0.093 sq mi
199,4.447 sq mi
200,8.567 sq mi
