,Zipcode,Zipcode Area
0,48197,1.238 sq mi
1,48154,11.616 sq mi
2,48120,3.187 sq mi
3,97850,289.315 sq mi
4,57301,1.417 sq mi
5,48187,0.012 sq mi
6,56560,0 sq mi
7,48824,0 sq mi
8,48201,2.005 sq mi
9,49201,152.632 sq mi
10,49503,0.183 sq mi
11,48602,7.831 sq mi
12,43701,180.334 sq mi
13,94143,0 sq mi
14,48109,0 sq mi
15,43614,9.029 sq mi
16,48105,0.802 sq mi
17,49008,6.55 sq mi
18,48108,16.974 sq mi
19,98105,2.484 sq mi
20,43606,6.521 sq mi
21,14642,0 sq mi
22,43608,3.625 sq mi
23,48503,8.203 sq mi
24,48103,0.462 sq mi
25,32808,11.978 sq mi
26,48202,3.327 sq mi
27,11213,1.091 sq mi
28,48236,7.515 sq mi
29,15213,2.131 sq mi
30,46135,0.75 sq mi
31,48073,7.376 sq mi
32,60612,3.747 sq mi
33,32207,4.67 sq mi
34,25504,49.596 sq mi
35,49525,1.007 sq mi
36,48310,0.027 sq mi
37,49855,200.614 sq mi
38,48313,0.157 sq mi
39,49013,59.008 sq mi
40,48912,4.801 sq mi
41,48091,7.992 sq mi
42,48124,8.855 sq mi
43,10467,0 sq mi
44,48034,4.32 sq mi
45,48375,0.031 sq mi
46,48093,5.653 sq mi
47,48088,4.437 sq mi
48,28803,38.33 sq mi
49,48152,12.111 sq mi
50,48341,6.391 sq mi
51,48307,15.349 sq mi
52,48104,0.247 sq mi
53,48065,37.386 sq mi
54,49781,78.666 sq mi
55,48801,71.448 sq mi
56,49418,18.925 sq mi
57,48066,9.852 sq mi
58,45229,2.73 sq mi
59,49684,100.727 sq mi
60,48823,22.427 sq mi
61,48708,27.864 sq mi
62,49203,26.267 sq mi
63,48092,8.191 sq mi
64,48439,0.478 sq mi
65,48135,5.868 sq mi
66,49058,147.36 sq mi
67,53142,21.642 sq mi
68,48629,80.141 sq mi
69,48813,169.805 sq mi
70,48080,0.728 sq mi
71,48205,6.383 sq mi
72,48309,15.457 sq mi
73,48075,7.396 sq mi
74,60611,0.596 sq mi
75,48430,82.958 sq mi
76,95608,13.041 sq mi
77,11203,2.146 sq mi
78,48532,15.305 sq mi
79,63501,1.243 sq mi
80,48221,5.452 sq mi
81,48519,7.722 sq mi
82,48846,108.408 sq mi
83,95757,60.455 sq mi
84,46202,5.581 sq mi
85,48228,8.61 sq mi
86,48161,44.758 sq mi
87,48084,6.181 sq mi
88,49504,0.202 sq mi
89,48025,0.015 sq mi
90,49424,57.407 sq mi
91,49913,1.644 sq mi
92,54501,25.526 sq mi
93,48183,18.587 sq mi
94,48211,4.189 sq mi
95,48226,1.235 sq mi
96,48044,0.075 sq mi
97,48198,0.879 sq mi
98,48009,0.012 sq mi
99,48328,2.572 sq mi
100,48706,66.988 sq mi
101,48659,79.7 sq mi
102,48314,0.034 sq mi
103,48324,8.598 sq mi
104,33196,24.495 sq mi
105,49770,109.681 sq mi
106,48382,1.894 sq mi
107,48323,8.736 sq mi
108,49546,0.62 sq mi
109,48302,1.162 sq mi
110,39216,0.154 sq mi
111,66160,0 sq mi
112,11777,2.105 sq mi
113,46614,52.909 sq mi
114,60202,3.055 sq mi
115,49801,5.092 sq mi
116,48180,23.597 sq mi
117,48910,15.205 sq mi
118,48081,1.336 sq mi
119,46514,38.507 sq mi
120,49441,14.386 sq mi
121,49442,4.083 sq mi
122,48604,24.922 sq mi
123,48235,6.251 sq mi
124,48186,8.259 sq mi
125,48502,0.397 sq mi
126,48185,12.167 sq mi
127,49024,17.155 sq mi
128,49423,77.609 sq mi
129,49427,0 sq mi
130,48306,22.73 sq mi
131,48184,7.03 sq mi
132,49509,0.02 sq mi
133,48126,9.802 sq mi
134,85253,17.978 sq mi
135,55305,9.31 sq mi
136,10016,0 sq mi
137,48239,0.036 sq mi
138,97239,3.551 sq mi
139,48732,24.587 sq mi
140,45219,0 sq mi
141,48035,8.793 sq mi
142,48603,18.309 sq mi
143,30312,0 sq mi
144,48083,8.641 sq mi
145,49548,0.013 sq mi
146,48858,172.881 sq mi
147,91911,11.712 sq mi
148,49829,65.138 sq mi
149,49601,206.327 sq mi
150,48150,11.986 sq mi
151,80907,0.019 sq mi
152,48623,73.617 sq mi
153,49093,105.706 sq mi
154,49017,55.467 sq mi
155,60108,7.193 sq mi
156,49316,56.913 sq mi
157,28547,11.014 sq mi
158,48312,0.076 sq mi
159,90502,2.235 sq mi
160,49022,68.78 sq mi
161,48054,1.583 sq mi
162,48220,0 sq mi
163,48301,0.218 sq mi
164,49444,0.559 sq mi
165,48640,100.968 sq mi
166,49454,73.077 sq mi
167,48162,57.207 sq mi
168,43537,18.374 sq mi
169,48386,16.723 sq mi
170,49068,129.453 sq mi
171,48116,3.523 sq mi
172,48071,7.094 sq mi
173,48336,9.091 sq mi
174,48213,6.534 sq mi
175,48334,8.989 sq mi
176,48038,10.963 sq mi
177,48189,2.234 sq mi
178,49519,0.159 sq mi
179,10065,0.386 sq mi
180,30342,0.071 sq mi
181,60707,3.608 sq mi
182,60467,14.551 sq mi
183,33308,4.549 sq mi
184,49106,15.71 sq mi
185,48444,0.501 sq mi
186,48219,8.407 sq mi
187,48915,1.815 sq mi
188,48933,0.754 sq mi
189,48446,6.081 sq mi
190,48085,9.31 sq mi
191,48017,2.194 sq mi
192,48917,24.317 sq mi
193,48014,36.59 sq mi
194,48304,0.093 sq mi
195,60160,4.447 sq mi
196,21236,8.567 sq mi
197,48082,0.756 sq mi
198,49616,36.947 sq mi
199,49783,151.049 sq mi
200,90048,0 sq mi
201,48867,137.644 sq mi
202,91367,7.441 sq mi
203,49098,32.435 sq mi
204,49085,2.6 sq mi
205,53821,103.502 sq mi
206,48033,8.964 sq mi
207,48047,5.182 sq mi
208,79029,300.861 sq mi
209,60614,0.287 sq mi
210,43616,40.039 sq mi
211,49341,82.669 sq mi
212,48212,5.349 sq mi
213,48331,9.288 sq mi
214,48504,0.048 sq mi
215,48509,8.86 sq mi
216,85006,3.903 sq mi
217,61801,5.352 sq mi
218,48423,65.592 sq mi
219,49841,191.851 sq mi
220,48642,114.3 sq mi
221,49866,145.545 sq mi
222,48374,9.082 sq mi
223,48178,50.656 sq mi
224,48237,5.151 sq mi
225,49079,83.039 sq mi
226,49080,77.948 sq mi
227,49450,29.472 sq mi
228,48174,41.189 sq mi
229,48730,73.277 sq mi
230,49544,0.172 sq mi
231,42503,129.319 sq mi
232,48326,17.29 sq mi
233,47331,1.388 sq mi
234,48360,0.795 sq mi
235,21201,1.29 sq mi
236,44195,0 sq mi
237,48315,12.766 sq mi
238,54143,6.151 sq mi
239,49007,3.604 sq mi
240,48043,4.099 sq mi
241,48060,3.104 sq mi
242,48118,4.172 sq mi
243,60302,3.013 sq mi
244,29303,0.109 sq mi
245,49307,135.419 sq mi
246,49428,0.688 sq mi
247,49505,0.223 sq mi
248,48230,3.228 sq mi
249,14203,2.637 sq mi
250,14569,76.288 sq mi
251,26537,41.266 sq mi
252,80218,1.6 sq mi
253,84065,0.003 sq mi
254,53581,0.108 sq mi
255,99301,464.977 sq mi
256,48820,65.682 sq mi
257,49858,85.817 sq mi
258,37027,0.05 sq mi
259,48170,34.15 sq mi
260,33461,7.245 sq mi
261,48507,20.83 sq mi
262,48377,9.644 sq mi
263,48067,4.59 sq mi
264,48884,60.851 sq mi
265,47710,0.162 sq mi
266,48138,1.525 sq mi
267,17602,0.428 sq mi
268,22908,0 sq mi
269,74464,1.494 sq mi
270,49333,3.872 sq mi
271,94577,8.15 sq mi
272,49660,186.729 sq mi
273,60153,2.997 sq mi
274,55905,0 sq mi
275,49415,29.43 sq mi
276,48114,1.733 sq mi
277,96813,0.249 sq mi
278,63110,6.263 sq mi
279,48843,90.004 sq mi
280,48070,0.004 sq mi
281,23708,0.165 sq mi
282,49727,129.101 sq mi
283,11772,0.445 sq mi
284,20755,0.012 sq mi
285,97209,1.046 sq mi
286,48322,11.756 sq mi
