"MED_SCH_DATA_ID","ENTITY_ID","LABEL_FLAG","GRAD_STATUS","SCHOOL_NAME","GRAD_DT","SCHOOL_CD","INSERT_DTM","INSERT_USER_ID","END_DT","CITY","STATE_CD","ZIP","AMA_SCHOOL_CD","SEGMENT_ONLY_IND","COUNTRY_NAME","MATRICULATION_DT","DEGREE_CD","NSC_IND","NSC_DATE","NSC_USER_ID"
8806440,40075603,"D","Yes        ","Mohan Kumaramangalam Medical College",1998-01-01,"49645     ",2023/05/01:05:48:38 AM,"PEPFETL ",,"Salem                       ",,"          ",15468553,,"India",,"MD","N",,
8806441,43619312,"D","Yes        ","Obafemi Awolowo College of Health Sciences, Olabisi Onabanjo University",2006-01-01,"69014     ",2023/05/01:05:48:38 AM,"PEPFETL ",,"Ago-Iwoye                   ",,"          ",14811650,,"Nigeria",,"MD","N",,
8806442,47862759,"D","Yes        ","University of Calabar College of Medical Sciences",2015-01-01,"69010     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"Calabar                     ",,"          ",14811598,,"Nigeria",,"MD","N",,
8806443,48537615,"D","Yes        ","Tongji Medical College of Huazhong University of Science & Technology",2017-01-01,"24201     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"Hubei                       ",,"          ",42676084,,"China",,"MD","N",,
8806444,43244613,"D","Yes        ","University of Manchester School of Medicine",2012-01-01,"91708     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"Manchester                  ",,"          ",14815810,,"United Kingdom-England",,"MD","N",,
8806445,47876916,"D","Yes        ","Alfaisal University College of Medicine",2018-01-01,"79712     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"Riyadh                      ",,"          ",46904490,,"Saudi Arabia",,"MD","N",,
8806446,46665355,"D","Yes        ","Islamic Azad University, Tehran Faculty of Medicine",1994-01-01,"51712     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"Teheran                     ",,"19168     ",14808075,,"Iran",,"MD","N",,
8806447,65813215,"D","Yes        ","St George's University School of Medicine",2023-01-01,"42201     ",2023/05/02:05:55:51 AM,"PEPFETL ",,"St George's                 ",,"          ",14805774,,"Grenada",,"MD","N",,
8806448,20219663,"D","Yes        ","King Abdulaziz University College of Medicine and Allied Sciences",1990-01-01,"79702     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Jeddah                      ",,"          ",14812963,,"Saudi Arabia",,"MD","N",,
8806449,21745018,"D","Yes        ","Gondar College of Medicine and Health Sciences",1994-01-01,"36602     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Gondar                      ",,"          ",14804019,,"Ethiopia",,"MD","N",,
8806450,49010308,"D","Yes        ","West Virginia School of Osteopathic Medicine",2018-05-146,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2014-07-211,"DO","N",,
8806451,40202756,"D","Yes        ","University of Calabar College of Medical Sciences",1999-01-01,"69010     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Calabar                     ",,"          ",14811598,,"Nigeria",,"MD","N",,
8806452,47204452,"D","Yes        ","Jordan University of Science and Technology Faculty of Medicine",2006-01-01,"57502     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Irbid                       ",,"          ",14809869,,"Jordan",,"MD","N",,
8785340,9930410,"D","Yes        ","Warren Alpert Medical School of Brown University",1983-06-152,"04301     ",2022/12/01:05:55:37 AM,"PEPFETL ",,"Providence                  ","RI","02912     ",14797935,,"United States of America                                                   ",1979-09-244,"MD","N",,
8806453,50038490,"D","Yes        ","West Virginia School of Osteopathic Medicine",2017-05-147,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2013-08-213,"DO","N",,
8806454,74289735,"D","Yes        ","Univ of North Texas Health Science Center Texas College of Osteopathic Med",2020-06-171,"04878     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Fort Worth                  ","TX","76107     ",14798312,,"United States of America                                                   ",2016-07-187,"DO","N",,
8806455,74364160,"D","Yes        ","Midwestern University-Arizona College of Osteopathic Medicine",2022-05-140,"00375     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Glendale                    ","AZ","85308     ",14794763,,"United States of America                                                   ",2017-07-212,"DO","N",,
8806456,74367592,"D","Yes        ","Marian University College of Osteopathic Medicine",2022-05-127,"01775     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Indianapolis                ","IN","46222     ",45713859,,"United States of America                                                   ",2018-08-221,"DO","N",,
8806457,74881157,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2025-05-122,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2021-07-210,"DO","N",,
8806458,74887488,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2020-07-213,"DO","N",,
8806459,74947847,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-230,"DO","N",,
8806460,74960288,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2024-05-140,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2020-08-223,"DO","N",,
8806461,74963642,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2024-05-139,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2019-08-222,"DO","N",,
8806462,74968686,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2023-05-141,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2019-08-227,"DO","N",,
8806463,74974367,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2026-05-137,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2022-08-220,"DO","N",,
8806464,74981530,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2024-05-124,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2019-07-207,"DO","N",,
8806465,74983116,"D","Enrolled   ","West Virginia School of Osteopathic Medicine",2025-05-122,"05575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Lewisburg                   ","WV","24901     ",14798455,,"United States of America                                                   ",2021-07-210,"DO","N",,
8806466,74983766,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2025-05-138,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2021-08-221,"DO","N",,
8806467,74994751,"D","Enrolled   ","New York Institute of Technology College of Osteopathic Medicine",2023-05-141,"03575     ",2023/05/03:05:51:21 AM,"PEPFETL ",,"Old Westbury                ","NY","11568     ",14797285,,"United States of America                                                   ",2019-08-227,"DO","N",,
