Number,Name,Address,Zipcode,City,State,PhoneType,QualityScore,Date,Notes,Provider,SICCode,SICDesc
7077554748,JOAN MCLAIN,,,,,RESIDENTIAL,MED,2013-11-17,"IsPorted,IsWireless",VERIZON WIRELESS-CA,,
5124651664,AUSTIN REGIONAL CLINIC,,78751,AUSTIN,TX,BUSINESS,MED,2003-12-11,"IsConnected,IsPorted",SOUTHWESTERN BELL,,
7186360015,SAMARITAN VILLAGE INC,,11201,BROOKLYN,NY,BUSINESS,LOW,2017-02-01,IsPorted,CABLEVSN LGHTPATH NY,,
8474596611,SCOTT D GLAZER,600 W LAKE COOK RD,60089-2089,BUFFALO GROVE,IL,RESIDENTIAL,HIGH,2018-10-12,"IsMailable,IsConnected,IsPorted",COMCAST PHONE-IL,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
3342063879,ALABAMA STATE OF,,36104,MONTGOMERY,AL,BUSINESS,LOW,,,BELLSOUTH SO CNTL,,
9046440092,AVIATION RECRUITING PERSONNEL CONSULTANTS,1845 TOWN CENTER BLVD STE 210,32003-3359,FLEMING ISLAND,FL,BUSINESS,HIGH,2016-08-23,"IsMailable,IsConnected,IsPorted",BANDWIDTH.COM - FL,"80110000,87420200","OFFICES AND CLINICS OF MEDICAL DOCTORS,HUMAN RESOURCE CONSULTING SERVICES"
5028523876,UNIV OF LOUISVI,,40202,LOUISVILLE,KY,BUSINESS,LOW,2018-10-24,"IsPorted,IsPossiblePortableVOIP",LEVEL 3 COMM - KY,,
4043650966,KAISER PERMANENTE HEALTH CARE HEALTH MAINTENANCE,1175 CASCADE PKWY SW,30311-3090,ATLANTA,GA,BUSINESS,HIGH,2016-10-20,"IsMailable,IsConnected,IsPorted",MCI WORLDCOM COMM GA,"80110102,80110300,80430000","ENDOCRINOLOGIST,MEDICAL INSURANCE ASSOCIATIONS,OFFICES AND CLINICS OF PODIATRISTS"
9497284323,QUEST DIAGNOSTICS INCORPORATED,33608 ORTEGA HWY,92675-2042,SAN JUAN CAPISTRANO,CA,BUSINESS,LOW,,IsMailable,PACIFIC BELL,,
6268516634,KAISER PERMANENTE,,91706,BALDWIN PARK,CA,RESIDENTIAL,MED,,IsConnected,FRONTIER CALIFORNIA,,
4083633039,V A CLINIC SJ,,95013,COYOTE,CA,BUSINESS,LOW,,,PACIFIC BELL,,
7082458975,GWENDELYN SIMPSON,324 MOHAWK NULL,60466,PARK FOREST,IL,RESIDENTIAL,LOW,,,AMERITECH ILLINOIS,,
2152141754,FOX CHASE CANCE,,19111,PHILADELPHIA,PA,BUSINESS,MED,,IsConnected,VERIZON PENNSYLVANIA,,
2037397038,MARVIN PRINCE MD PHYSICIANS GENERAL,24 HOSPITAL AVE,06810-6099,DANBURY,CT,BUSINESS,HIGH,2018-04-24,"IsMailable,IsConnected,IsPorted",TELEPORT COMM AM-CT,"80110102,80620000,80110000","ENDOCRINOLOGIST,GENERAL MEDICAL AND SURGICAL HOSPITALS,OFFICES AND CLINICS OF MEDICAL DOCTORS"
8058983400,ARNOLD GORIN MD PHYSICIANS GENERAL,301 W PUEBLO ST,93105-4310,SANTA BARBARA,CA,BUSINESS,HIGH,2020-01-17,"IsMailable,IsConnected,IsPorted",COMCAST PHONE - CA,"80110000,80490000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES OF HEALTH PRACTITIONER"
4066577000,SCL HEALTH,,59101,BILLINGS,MT,BUSINESS,MED,,IsConnected,QWEST CORPORATION,,
6104366696,SURGICAL SPECIALISTS PC PHYSICIANS SURGEONS,915 OLD FERN HILL RD STE B201,19380-3431,WEST CHESTER,PA,BUSINESS,HIGH,2009-06-22,"IsMailable,IsConnected,IsPorted",BROADVIEW NTWKS - PA,"80110000,80430000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF PODIATRISTS"
6036223623,JEFFREY ZIMMERMAN MD PHYSICIANS SURGEONS,30 CANTON ST STE 2,03103-3524,MANCHESTER,NH,BUSINESS,HIGH,,"IsMailable,IsConnected",CONSOLIDATED NH,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
2534037277,MULTICARE HEALT,915 6TH AVE STE 200,98405-4682,TACOMA,WA,BUSINESS,LOW,2017-09-20,"IsMailable,IsPorted",CENTURYLINK COMM,"80110000,80490000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES OF HEALTH PRACTITIONER"
6304699200,SHARON FANG,1801 S HIGHLAND AVE,60148-4932,LOMBARD,IL,RESIDENTIAL,HIGH,2018-02-07,"IsMailable,IsConnected,IsPorted",TELEPORT COMM AM-IL,"80110000,80110400,80490000,80430000,80310000,80990000","OFFICES AND CLINICS OF MEDICAL DOCTORS,PSYCHIATRISTS AND PSYCHOANALYSTS,OFFICES OF HEALTH PRACTITIONER,OFFICES AND CLINICS OF PODIATRISTS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS,HEALTH AND ALLIED SERVICES, NEC"
4804126336,BANNER DESERT MEDICAL CENTER,1400 S DOBSON RD,85202-4707,MESA,AZ,BUSINESS,LOW,2019-05-23,"IsMailable,IsPorted,IsPossiblePortableVOIP",LEVEL 3 COMM - AZ,"80620000,80110000","GENERAL MEDICAL AND SURGICAL HOSPITALS,OFFICES AND CLINICS OF MEDICAL DOCTORS"
8034194949,RUTKUMAR P JANI MD PHYSICIANS SURGEONS FAMILY,229 LONGTOWN RD,29229-8550,COLUMBIA,SC,BUSINESS,HIGH,2009-11-20,"IsMailable,IsConnected,IsPorted",NUVOX COMMUNICATIONS,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
9043548766,TAMIKA R WILLIAMS,1231 W 8TH ST,32209-6312,JACKSONVILLE,FL,RESIDENTIAL,HIGH,2017-05-20,"IsMailable,IsConnected,IsPorted",AT&T CORP.,,
5182625756,ALBANY MEDICAL,47 NEW SCOTLAND AVE,12208-3412,ALBANY,NY,BUSINESS,LOW,2006-12-08,"IsMailable,IsPorted",FIRSTLIGHT FIBER,,
9089945000,TRINITAS REGIONAL MEDICAL CENTER HOSPITALS,225 WILLIAMSON ST,07202-3625,ELIZABETH,NJ,BUSINESS,HIGH,2015-07-23,"IsMailable,IsConnected,IsPorted",CABLEVSN LGHTPATH NJ,"80620000,80490000","GENERAL MEDICAL AND SURGICAL HOSPITALS,OFFICES OF HEALTH PRACTITIONER"
3252245641,BRIAN BRADLEY,3605 EXECUTIVE DR,76904-6884,SAN ANGELO,TX,RESIDENTIAL,HIGH,,"IsMailable,IsConnected",FRONTIER COMM OF TX,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
6503214121,PATRICIA CURTIS,795 EL CAMINO REAL,94301-2302,PALO ALTO,CA,RESIDENTIAL,HIGH,,"IsMailable,IsConnected",PACIFIC BELL,"80110102,80110400,80420000,80430000,80110402,80110401","ENDOCRINOLOGIST,PSYCHIATRISTS AND PSYCHOANALYSTS,OFFICES AND CLINICS OF OPTOMETRISTS,OFFICES AND CLINICS OF PODIATRISTS,PSYCHIATRIST,PSYCHIATRIC CLINIC"
2122380100,HARDEN HEALTH,,10007,NEW YORK,NY,BUSINESS,LOW,2012-11-12,IsPorted,PAETEC COMM - NY,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
8436449696,LAUREL S BAY,,,,,RESIDENTIAL,MED,,IsConnected,"HARGRAY, INC.-SC",,
4153532273,U CSF MEDICAL CENTER UCSF CHILDRENS HOSPITAL,,94102,SAN FRANCISCO,CA,BUSINESS,HIGH,,IsConnected,PACIFIC BELL,80620000,GENERAL MEDICAL AND SURGICAL HOSPITALS
8432827966,HOLLYWOOD FLORIST AND GIFTS FLOWERS FLORISTSGIFT,162 HIGHWAY,29449,HOLLYWOOD,SC,BUSINESS,LOW,2018-11-27,"IsPorted,IsPossibleDisconnected,INF",BANDWIDTH.COM - SC,59920000,FLORISTS
2673393500,BRIAN SOKALSKY DO PHYSICIANS SURGEONS,925 CHESTNUT ST FL 5,19107-4206,PHILADELPHIA,PA,BUSINESS,HIGH,2019-09-09,"IsMailable,IsConnected,IsPorted",BANDWIDTH.COM - PA,80430000,OFFICES AND CLINICS OF PODIATRISTS
2155905090,PRIMARY CARE CENTER UNIVERSITY CITY PHYSICIANS,3401 CIVIC CENTER BLVD,19104-4319,PHILADELPHIA,PA,BUSINESS,HIGH,,"IsMailable,IsConnected",VERIZON PENNSYLVANIA,"80110000,80310000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS"
5594484500,KAISER PERMANENTE MEDICAL CENTERFRESNO MEDICAL,,93650,FRESNO,CA,BUSINESS,HIGH,,IsConnected,PACIFIC BELL,"80430000,80110102,80110400","OFFICES AND CLINICS OF PODIATRISTS,ENDOCRINOLOGIST,PSYCHIATRISTS AND PSYCHOANALYSTS"
7327278800,SAID A SAMRA MD FACS PHYSICIANS SURGEONS,200 PERRINE RD,08857-2842,OLD BRIDGE,NJ,BUSINESS,HIGH,2016-10-05,"IsMailable,IsConnected,IsPorted",VONAGE NETWORK INC.,80110300,MEDICAL INSURANCE ASSOCIATIONS
2122637751,NYU MEDICAL CTR,550 1ST AVE,10016-6402,NEW YORK,NY,BUSINESS,LOW,,IsMailable,VERIZON NEW YORK INC,,
6784747000,EMORY HEALTHCARE EMORY JOHNS CREEK HOSPITAL,6325 HOSPITAL PKWY,30097-5775,DULUTH,GA,BUSINESS,HIGH,,"IsMailable,IsConnected",BELLSOUTH SO BELL,"80620000,82210000","GENERAL MEDICAL AND SURGICAL HOSPITALS,COLLEGES AND UNIVERSITIES"
3102683178,USG VETERANS AF,,90025,LOS ANGELES,CA,BUSINESS,LOW,2002-04-27,IsPorted,PACIFIC BELL,,
8152821339,MAHTAB TASHAKORI,6830 VILLAGREEN VW,61107-5639,ROCKFORD,IL,RESIDENTIAL,HIGH,,"IsMailable,IsConnected",AMERITECH ILLINOIS,"80110000,80310000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS"
9075802778,DEFENSE INFORMT,,99506,JBER,AK,BUSINESS,LOW,,,GENERAL COMM - CLEC,,
6153228972,VANDERBILT VANDERBILT UNIVERSITY COLLEGE OF ARTS,2301 VANDERBILT PL,37235-0002,NASHVILLE,TN,BUSINESS,LOW,2019-08-22,"IsMailable,IsPorted",TELEPORT COMM AM-TN,,
7736374454,T H SUNG MD PHYSICIANS SURGEONS,7031 W GRAND AVE,60707-2107,CHICAGO,IL,BUSINESS,LOW,,"IsMailable,IsPossibleDisconnected,INF",AMERITECH ILLINOIS,,
9569683171,THURMOND EYE ASSOCIATES PHYSICIANS SURGEONS,1519 E 6TH ST,78596-6605,WESLACO,TX,BUSINESS,LOW,2011-06-27,"IsMailable,IsPorted",TIME WARNER CABLE TX,"80110000,80420000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OPTOMETRISTS"
4126923032,CHILDREN S HOSPITAL OF PITTSBURGH OF UPMC,3705 5TH AVE,15213-2584,PITTSBURGH,PA,BUSINESS,LOW,,"IsMailable,IsPossibleDisconnected,INF",VERIZON PENNSYLVANIA,80620000,GENERAL MEDICAL AND SURGICAL HOSPITALS
7744423028,UMASS MEMORIAL,,01527,MILLBURY,MA,BUSINESS,LOW,,,XO MASSACHUSETTS,,
4145851448,ASCENSION WI,,,,,RESIDENTIAL,MED,2018-02-01,"IsConnected,IsPorted,IsPossiblePortableVOIP",LEVEL 3 COMM - WI,,
6195327579,US GOVT,,92101,SAN DIEGO,CA,BUSINESS,LOW,,,PACIFIC BELL,,
2066673751,HUTCHINSON CTR,,98101,SEATTLE,WA,BUSINESS,MED,2016-06-11,"IsConnected,IsPorted",ALLSTREAM,,
2067443367,UW MED,325 9TH AVE,98104-2420,SEATTLE,WA,BUSINESS,LOW,2017-07-06,"IsMailable,IsPorted",MAGNA5 LLC,,
6022216326,JPMORGAN CHASE,,85012,PHOENIX,AZ,BUSINESS,LOW,2017-07-08,IsPorted,TELEPORT COMM AM-AZ,,
9077293300,SOUTHCENTRAL FOUNDATION,4501 DIPLOMACY DR,99508-5919,ANCHORAGE,AK,BUSINESS,HIGH,2009-12-22,"IsMailable,IsConnected,IsPorted",GENERAL COMM - CLEC,"80490000,80110300","OFFICES OF HEALTH PRACTITIONER,MEDICAL INSURANCE ASSOCIATIONS"
6152222111,SAINT THOMAS HOSPITAL,4220 HARDING PIKE,37205-2005,NASHVILLE,TN,BUSINESS,HIGH,2019-12-19,"IsMailable,IsConnected,IsPorted",TELEPORT COMM AM-TN,"80110000,80620000","OFFICES AND CLINICS OF MEDICAL DOCTORS,GENERAL MEDICAL AND SURGICAL HOSPITALS"
7038936168,BYRON D POINDEXTER,1825 SAMUEL MORSE DR,20190-5317,RESTON,VA,RESIDENTIAL,HIGH,2014-08-05,"IsMailable,IsConnected,IsPorted",COMCAST PHONE - VA,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
7143470300,ORANGE COUNTY OF CALIFORNIA CHILDRENS SERVICESCCS,200 W SANTA ANA BLVD,92701-4134,SANTA ANA,CA,BUSINESS,HIGH,2016-01-29,"IsMailable,IsConnected,IsPorted",LEVEL3 TELECOM OF CA,"91110204,63210100","MAYORS' OFFICE,ACCIDENT AND HEALTH INSURANCE CARRIERS"
9726085000,TEXAS BACK INSTITUTE PHYSICIANS SURGEONS,6020 W PARKER RD STE 200,75093-8172,PLANO,TX,BUSINESS,HIGH,2018-09-28,"IsMailable,IsConnected,IsPorted",TELEPORT COM DALLAS,,
6088372206,DAVID W QUEOFF MD PHYSICIANS GENERAL,2651 WINDSOR ST,53590-9825,SUN PRAIRIE,WI,BUSINESS,HIGH,,"IsMailable,IsConnected",FRONTIER NORTH-WI,"80490000,80110000,80310000","OFFICES OF HEALTH PRACTITIONER,OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS"
9284757190,None,None,None,None,None,None,None,,IsUnknownContact,SAN CARLOS APACHE,None,None
9733770702,MICHELE MCNAMARA,24 VINTON RD,07940-2506,MADISON,NJ,RESIDENTIAL,HIGH,2018-01-19,"IsMailable,IsConnected,IsPorted",VERIZON NEW JERSEY,72310000,BEAUTY SHOPS
2484237000,DR MAY ANTONE PHYSICIANS GENERAL,29275 NORTHWESTERN HWY STE 200,48034-5744,SOUTHFIELD,MI,BUSINESS,HIGH,2019-07-10,"IsMailable,IsConnected,IsPorted","ONVOY, LLC - MI",80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
5708083200,GEISINGER SYSTE,,,,,BUSINESS,MED,2018-11-27,"IsConnected,IsPorted","CTSI, INC. - PA",,
8589668052,RADY CHILDRENS HOSPITAL NEPHROLOGYRENAL HOSPITALS,3020 CHILDRENS WAY,92123-4223,SAN DIEGO,CA,BUSINESS,HIGH,2006-12-13,"IsMailable,IsConnected,IsPorted",COX CA TELCOM - CA,80620000,GENERAL MEDICAL AND SURGICAL HOSPITALS
2709724146,REY JONATHAN,,40033,LEBANON,KY,RESIDENTIAL,MED,2016-11-02,"IsConnected,IsPorted,IsPossiblePortableVOIP",LEVEL 3 COMM - KY,,
6167340900,T JOSEPH,1525 E BELTLINE AVE NE STE 203,49525-4598,GRAND RAPIDS,MI,RESIDENTIAL,LOW,2017-08-11,"IsMailable,IsPorted","RCLEC, INC. - MI",,
9709458503,DR JAMES A ODONNELL MD OB GYN,1830 BLAKE AVE STE 208,81601-4261,GLENWOOD SPRINGS,CO,BUSINESS,HIGH,,"IsMailable,IsConnected",QWEST CORPORATION,80110102,ENDOCRINOLOGIST
8479685300,GURNEE RADIOLOGY CENTER,,60048,LIBERTYVILLE,IL,BUSINESS,LOW,2012-11-05,IsPorted,PEERLESS NTWK - IL,,
7274413711,RADIOLOGY ASSOCIATES OF CLEARWATER,1106 DRUID RD S,33756-3846,CLEARWATER,FL,BUSINESS,LOW,2019-09-10,"IsMailable,IsPorted,IsPossibleDisconnected,INF","AIRUS, INC. - FL",80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
8472361300,NORTHSHORE UNIVERSITY HEALTHSYSTEM MEDICAL GROUP,2151 WAUKEGAN RD,60015-1885,BANNOCKBURN,IL,BUSINESS,HIGH,2018-09-14,"IsMailable,IsConnected,IsPorted",TELEPORT COMM AM-IL,"80110000,80490000","OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES OF HEALTH PRACTITIONER"
8504748385,MEDICAL CENTER CLINIC JONES KEVIN MD,8333 N DAVIS HWY,32514-6050,PENSACOLA,FL,BUSINESS,HIGH,2014-10-31,"IsMailable,IsConnected,IsPorted",CALLIS COMMS - FL,80110000,OFFICES AND CLINICS OF MEDICAL DOCTORS
5052722111,UNIVERSITY OF NEW MEXICO HEALTH SCIENCES CENTER,2211 LOMAS BLVD NE,87106-2719,ALBUQUERQUE,NM,BUSINESS,HIGH,,"IsMailable,IsConnected",QWEST CORPORATION,"82210000,80110000,80620000,80490000","COLLEGES AND UNIVERSITIES,OFFICES AND CLINICS OF MEDICAL DOCTORS,GENERAL MEDICAL AND SURGICAL HOSPITALS,OFFICES OF HEALTH PRACTITIONER"
6088275778,DOUGLAS KRAMER,5621 SEDGEMEADOW RD,53562-1256,MIDDLETON,WI,RESIDENTIAL,HIGH,2013-07-08,"IsMailable,IsConnected,IsPorted",MID-PLAINS TEL INC,,
4103285720,UNIVERSITY OF MARYLAND MEDICAL CENTER,,21201,BALTIMORE,MD,BUSINESS,MED,,IsConnected,VERIZON MARYLAND INC,,
2154816784,ABINGTON MEMORIAL HOSPITAL OB GYN CLINIC,,19046,JENKINTOWN,PA,BUSINESS,HIGH,2013-09-05,"IsConnected,IsPorted",MCI WORLDCOM COMM PA,,
5167052872,MERCY MEDICAL C,,11510,BALDWIN,NY,BUSINESS,LOW,,,CABLEVSN LGHTPATH NY,,
4158867062,CHRISTINA M WALKER,,,,,UNKNOWN,MED,2011-08-26,"IsPorted,IsGoogleVoiceNumber,IsPortableVOIP",BANDWIDTH.COM - CA,,
4137946297,BAYSTATE MEDICAL CENTER,759 CHESTNUT ST,01107-1619,SPRINGFIELD,MA,BUSINESS,LOW,2012-03-25,"IsMailable,IsPorted",PAETEC COMM. - MA,,
6052172667,THOMAS P JACOBSON,575 N SIOUX POINT RD,57049-5312,NORTH SIOUX CITY,SD,RESIDENTIAL,HIGH,2017-07-06,"IsMailable,IsConnected,IsPorted","FIBERCOMM, L.C.","80430000,80490101,80110000,80310000","OFFICES AND CLINICS OF PODIATRISTS,DIETICIAN,OFFICES AND CLINICS OF MEDICAL DOCTORS,OFFICES AND CLINICS OF OSTEOPATHIC PHYSICIANS"
